"Year","Total Biomass (mt)","Spawning Output","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1939,70302.5,7921.35,69151.4,0.937918483672699,2908.57,81.02,0.0346745,0.00117163210000087
1940,70029.2,7892.31,68886.3,0.934480035331714,2881.36,175.63,0.0671049,0.00254956355617881
1941,69653.2,7849.7,68519.6,0.929434846495305,2856.27,218.94,0.0801884,0.00319529010677237
1942,69228.5,7800.59,68104.8,0.923620032513702,2834.52,382.75,0.125408,0.00562001503565094
1943,68635.3,7728.06,67521.5,0.915032199932036,2815.71,1254.46,0.337142,0.0185786749405745
1944,67162.2,7538.34,66058.2,0.892568618001887,2797.06,1887.07,0.461073,0.0285667789918587
1945,65073.1,7266.8,63977.9,0.860417231551789,2785.5,3813.72,0.69109,0.0596099590639893
1946,61075.5,6744.12,59988.3,0.798529897568813,2770.68,2377.54,0.571758,0.0396333951787265
1947,58646.7,6419.37,57566.3,0.760078241276299,2769.14,1345.83,0.40871,0.0233787823778843
1948,57347.5,6232.93,56272.7,0.738003024034801,2781.46,1272.57,0.405037,0.022614340523913
1949,56176.6,6066.91,55105.9,0.718345613787894,2803.83,1235.85,0.403753,0.0224268181809933
1950,55092.9,5913.44,54024.5,0.70017417209055,2837.72,1237.31,0.411139,0.0229027570824348
1951,54056.8,5768.23,52985.8,0.682980746346945,2882.79,1223.76,0.418388,0.0230959993054743
1952,53081.2,5634.96,52002.8,0.667201062793124,2940.49,1158.86,0.404611,0.0222845692924227
1953,52222.5,5514.75,51132.1,0.652967733761798,3013.17,956.31,0.35613,0.0187027327256264
1954,51623.9,5425.93,50516.9,0.64245110216241,3107.94,1172.83,0.414794,0.0232165869243758
1955,50860.5,5314.82,49732.5,0.629295248334354,3230.82,1167.91,0.419901,0.0234838385361685
1956,50167.6,5209.16,49012.4,0.616784695589574,3400.82,1541.02,0.504495,0.031441431148036
1957,49170.3,5060.96,47979.9,0.59923724227918,3644.49,1567.41,0.514891,0.0326680547479257
1958,48242.3,4914.83,47004.4,0.581934884976562,4026,1300.01,0.47792,0.0276571980495443
1959,47695.7,4811.8,46393,0.569735734405915,4672.56,1347.41,0.485141,0.02904339016662
1960,47224,4707.78,45833.4,0.557419364005461,4794.81,1456.77,0.506141,0.0317840264959615
1961,46813.4,4596.89,45291.8,0.544289559028473,5402.29,1363.86,0.484902,0.0301127356386807
1962,46692,4505.93,45013.3,0.533519543150514,4685.47,1643.56,0.544773,0.0365127640053051
1963,46515.4,4392.63,44680,0.520104384850462,3686.67,1114.54,0.432648,0.0249449418084154
1964,47103.2,4358.65,45221.2,0.516081021399131,3131.42,1347.75,0.483331,0.0298034992437176
1965,47619.7,4311.7,45745.7,0.51052195977347,3002.29,1484.61,0.512875,0.0324535420815508
1966,48081.5,4269.94,46492.6,0.505577414225277,3324.32,3344.32,0.751327,0.0719323075070011
1967,46679.3,4031.19,45351.8,0.477308490623006,4315.99,1509.3,0.523409,0.0332798257180531
1968,47130.5,4034.33,45879,0.477680278770068,7085.67,2423.54,0.663165,0.0528246038492556
1969,46577,3970.17,45281.6,0.470083486567673,3455.43,1229.95,0.455713,0.0271622469170701
1970,47298.9,4061.62,45747.3,0.480911520341193,2349.98,1555.2,0.521055,0.033995448911739
1971,47755.9,4140.98,45859.6,0.490308051344653,2390.82,2015.93,0.590463,0.0439587349213687
1972,47745.8,4178.34,45727.5,0.494731619871484,3919.51,1923.69,0.579314,0.0420685583073643
1973,47737.1,4220.18,46563.8,0.499685637729156,4908.44,2781.47,0.694825,0.0597346006983966
1974,46735.4,4145.51,45725.2,0.490844420868919,3087.51,2316.58,0.650997,0.0506630916868598
1975,46165.3,4099.17,44942.4,0.485357585603037,3468.42,2044.69,0.619781,0.0454957901669693
1976,45838.6,4070.68,44256.1,0.481984259389723,4666.26,1762.76,0.582331,0.0398308933683718
1977,45726.4,4078.96,44142.7,0.48296464342083,2628.79,1855.26,0.596165,0.0420286933060279
1978,45528,4084.38,44225.5,0.483606392388052,3922.64,4346.23,0.829024,0.0982742987642876
1979,42776.9,3810.29,41344.6,0.451153076073301,3406.66,2920.97,0.750918,0.0706493713810268
1980,41455.5,3673.41,39975.5,0.434945954554227,1782.42,4574.38,0.861195,0.114429588122725
1981,38495.1,3325.86,37303.7,0.393794690060114,3580.1,3580.22,0.832371,0.0959749301007675
1982,36497.4,3087.86,35163.5,0.36561456935921,2859.4,5702.23,0.926561,0.162163322763661
1983,32322,2622.24,31217,0.310483360112342,2115.94,5296.95,0.92414,0.169681583752443
1984,28585.3,2199.1,27633.9,0.260381947198979,2860.24,2810.74,0.843921,0.101713475115709
1985,27347,2053.64,26137.2,0.24315892048825,2724.46,3052.85,0.871698,0.116800958021517
1986,25842.3,1901.18,24839.7,0.225107066698083,2277.82,2697.99,0.863825,0.108616046087513
1987,24670.3,1792.05,23745.4,0.212185652529639,2453.91,3434.39,0.908944,0.144633908041136
1988,22728,1613.26,21687,0.191016224882099,2411.79,3473.78,0.919782,0.160177986812376
1989,20728.3,1425.86,19750.5,0.16882733992685,3032.07,3674.14,0.936989,0.18602769550138
1990,18509.2,1218.11,17601.2,0.144228936247805,2577.07,3264.91,0.941329,0.185493602708906
1991,16701.2,1050.37,15747.4,0.124367871347093,1996.8,3915.34,0.964408,0.248634060225815
1992,14276.9,815.81,13285.7,0.0965950599537988,2170.85,3301.56,0.966424,0.248504783338477
1993,12469.1,640.078,11436.9,0.0757877113361048,1353.21,2899.3,0.967605,0.253504008953475
1994,11075.1,503.709,10200.2,0.0596410941938295,1508.92,1429.43,0.911574,0.140137448285328
1995,11102.5,490.519,10356.5,0.0580793471684307,1744.47,1331.69,0.898841,0.128584946651861
1996,11167.7,497.672,10473.6,0.0589262900397482,1568.86,1591.04,0.916412,0.151909563091965
1997,10917.4,489.439,10363.2,0.0579514709904602,1188.05,1486.5,0.90874,0.143440250115794
1998,10701.9,494.478,10102.5,0.0585481080837873,1118.55,1497.75,0.905428,0.148255382331106
1999,10404.8,498.222,9794.26,0.0589914121674183,964.99,900.9,0.809836,0.0919824468617333
2000,10620.4,546.362,10092.6,0.0646913743965843,1160.98,204.75,0.347473,0.0202871410736579
2001,11447.1,653.72,11006.1,0.0774029769100616,1565.55,122.42,0.213343,0.0111229227428426
2002,12291.5,773.486,11868.3,0.0915837346237776,1555.89,97.05,0.169803,0.00817724526680316
2003,13123.2,897.078,12682.5,0.106217505538341,2299.36,68.83,0.130215,0.00542716341415336
2004,13945,1022.97,13416.9,0.121123605350434,1761.35,47.17,0.0738202,0.00351571525464153
2005,14786.3,1148.98,14155.3,0.136043676819009,1009.63,59.78,0.0949171,0.00422315316524553
2006,15639.2,1268.76,14952.7,0.150226092186884,1394.06,58.98,0.0869801,0.00394443812823102
2007,16496.6,1382.9,15739.4,0.163740709736469,2277.24,52.29,0.0683687,0.00332223591750639
2008,17324.7,1489.21,16751.9,0.176328224995767,937.728,39.69,0.0510381,0.00236928348426149
2009,18170.8,1586.81,17678.1,0.187884442560507,1354.58,47.31,0.0588702,0.00267619257725661
2010,18990.6,1678.4,18367,0.198729052875616,2052.94,44.73,0.0550355,0.00243534600098002
2011,19771.4,1768.7,19093.2,0.20942092220037,2032.81,59.08,0.0689306,0.00309429535122452
2012,20511.9,1861.78,20030.7,0.22044195427953,2062.14,47.07,0.0526643,0.00234989291437643
2013,21261.2,1961.33,20611.1,0.232229059387828,2446.36,45,0.0504136,0.00218328958667902
2014,22008.7,2065.04,21224.2,0.24450872458905,1263.36,54.09,0.0601088,0.00254850595075433
2015,22783.3,2167.43,21990.1,0.256632096683863,1660.39,113.69,0.11921,0.00517005379693589
2016,23505.2,2258.65,22706.6,0.267432897567629,2136.31,75.61,0.0797172,0.00332986884870478
2017,24240.9,2346.58,23486.3,0.27784414972406,1088.71,399.66,0.317253,0.0170167289015298
2018,24620.7,2401.72,24055.1,0.284372939032664,915.009,598.69,0.437534,0.0248882773299633
2019,24743.1,2428.12,24086.3,0.287498801160831,1290.82,581.78,0.430914,0.0241539796481818
2020,24799.8,2452.81,24163.6,0.290422192673879,1769.61,501.07,0.390963,0.0207365624327501
2021,24858.5,2482.49,24424.4,0.293936419490698,2913.35,572.69,0.42643,0.0234474541851591
2022,24764.6,2506.4,24294.7,0.296767455986322,2545.5,699.13,0.502282,0.0287770583707558
2023,24532.9,2512.95,23880.8,0.297543001324939,2780.04,0,0,0
2024,25083.8,2580.86,24215.8,0.305583808034176,2799.61,0,0,0
2025,25738.7,2646.44,24665.7,0.313348733729828,2817.81,545.286269949,0.42719,0.0221070664910787
2026,25936.1,2654.46,24912.3,0.314298332755128,2819.99,543.602235416,0.425937,0.0218206362084593
2027,26242.6,2653.33,25167.5,0.314164536383733,2819.68,551.037433427,0.424513,0.0218948021625906
2028,26645.3,2644.36,25564.1,0.313102453683367,2817.24,565.630094512,0.422649,0.0221259537598429
2029,27125.7,2631.94,26040.6,0.311631877636706,2813.84,585.276854416,0.420243,0.0224755518081765
2030,27663.4,2623.96,26578,0.310687014766146,2811.65,609.394751434,0.418417,0.0229285405761908
2031,28237,2628.72,27152.1,0.311250617180165,2812.96,635.50561425,0.417295,0.0234053945827395
2032,28828.6,2650.89,27744.6,0.313875630944614,2819.02,661.393244435,0.416775,0.0238386296589246
2033,29423.9,2689.91,28340.6,0.318495749893141,2829.5,687.160257069,0.417458,0.0242464964421713
2034,30011.3,2741.86,28927.8,0.324646830861258,2843.11,710.944779661,0.418715,0.0245765243005344
