state,fishyr,month,fleet,sex,part,ageerr,Lbin_lo,Lbin_hi,Ntows,Nsamps,InputN,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35
coastal,1997,1,NTWL,3,0,0,-1,-1,1,17,3,0,0,0,0,0,0.0588,0,0,0,0,0,0,0.1176,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.1176,0.0588,0,0.2941,0.1176,0.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,1998,1,NTWL,3,0,0,-1,-1,4,87,16,0,0,0,0,0,0.0279,0.0557,0.0912,0.0989,0.0279,0.0142,0.0218,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0.0258,0.0354,0.0976,0.0351,0.1142,0.0219,0.0226,0.044,0.0896,0.0151,0.0067,0.0496,0.0067,0,0.0067,0,0.0228,0.02,0.0067,0,0,0.0067,0,0.0067,0,0,0,0,0,0.0067
coastal,2001,1,NTWL,3,0,0,-1,-1,5,39,10,0,0,0,0,0.0792,0.0728,0.0243,0.0741,0.0728,0.0741,0.0984,0.0256,0.0243,0,0.0243,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.027,0,0.0997,0.0741,0.0499,0.0243,0,0.0486,0,0.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2002,1,NTWL,3,0,0,-1,-1,4,30,8,0,0,0,0,0.1333,0.0667,0.1667,0.0667,0,0.0333,0,0,0.0333,0,0.0333,0.0333,0.0333,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.2,0.0667,0,0,0,0,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2003,1,NTWL,3,0,0,-1,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2004,1,NTWL,3,0,0,-1,-1,3,22,6,0,0,0,0,0,0,0,0,0.0454,0.0456,0.0912,0,0.1365,0.091,0.0454,0,0,0,0,0.0454,0,0,0,0.0454,0,0,0,0,0,0.0454,0.0454,0,0,0,0,0,0,0,0,0,0,0.0456,0,0.0454,0.0456,0,0.0454,0,0.091,0,0,0,0,0,0,0.0454,0,0,0,0,0,0,0,0.0454,0,0,0,0,0,0
coastal,2006,1,NTWL,3,0,0,-1,-1,1,35,6,0,0,0,0,0,0,0,0,0,0,0,0.0571,0.0857,0.1143,0.0286,0.0286,0.1143,0.0571,0.0857,0.0286,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0.0286,0.0286,0,0.0286,0.0571,0.0571,0.0286,0,0,0.0286,0,0.0286,0.0286,0,0,0,0,0,0,0,0.0286,0
coastal,2007,1,NTWL,3,0,0,-1,-1,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.1667,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal,2010,1,NTWL,3,0,0,-1,-1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333
coastal,2013,1,NTWL,3,0,0,-1,-1,1,10,2,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
