"year","C_ca_mrfss_U_N","C_debWV_U_N","O_or_mrfss_U_N","O_or_recfin_U_N","C_recfin_U_N","O_recfin_F_N","O_recfin_M_N","O_recfin_U_N","W_recfin_F_N","W_recfin_M_N","W_recfin_U_N","W_wa_sport_F_N","W_wa_sport_M_N","W_wa_sport_U_N","C_ca_mrfss_U_ntrip","C_debWV_U_ntrip","O_or_mrfss_U_ntrip","O_or_recfin_U_ntrip","C_recfin_U_ntrip","O_recfin_F_ntrip","O_recfin_M_ntrip","O_recfin_U_ntrip","W_recfin_F_ntrip","W_recfin_M_ntrip","W_recfin_U_ntrip","W_wa_sport_F_ntrip","W_wa_sport_M_ntrip","W_wa_sport_U_ntrip"
2013,0,0,0,20,134,0,0,20,0,0,6,0,0,6,0,0,0,12,60,0,0,12,0,0,3,0,0,3
2014,0,0,0,19,136,0,0,19,5,3,0,5,3,0,0,0,0,12,63,0,0,10,2,1,0,3,1,0
2015,0,0,0,2204,163,319,296,2207,3,2,32,3,2,32,0,0,0,914,87,104,99,352,2,2,4,2,2,4
2016,0,0,0,1817,133,310,190,1823,1,2,28,1,2,28,0,0,0,821,56,90,76,329,1,2,11,1,2,11
2017,0,0,0,3333,3252,372,327,3337,703,490,110,703,490,108,0,0,0,1010,667,86,97,325,22,22,39,22,22,43
2018,0,0,0,4018,2887,308,251,4025,227,203,273,227,203,270,0,0,0,1230,609,102,97,461,17,19,86,18,20,114
2019,0,0,0,3898,3018,309,275,3908,505,412,538,505,412,538,0,0,0,1272,637,103,90,464,30,28,106,31,29,159
2020,0,0,0,345,0,322,253,357,302,148,12,302,148,12,0,0,0,125,0,83,82,69,10,8,6,11,9,6
2021,0,0,0,3639,2165,359,250,2883,663,336,220,663,336,220,0,0,0,909,359,101,88,398,26,23,37,30,27,44
2022,0,0,0,3206,1845,353,305,2715,614,498,50,614,498,6,0,0,0,907,471,114,107,459,29,27,17,32,29,4
