"year","month","fleet","sex","partition","Nsamp","InputN","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
1993,7,"OR",0,0,525,123,0,0,0,0,1,6,21,39,73,88,95,64,46,27,18,6,12,6,4,7,5,3,0,0,1,1,0,2,0,0,0,0,1,6,21,39,73,88,95,64,46,27,18,6,12,6,4,7,5,3,0,0,1,1,0,2
1994,7,"OR",0,0,642,129,0,0,0,0,4,10,24,57,85,120,104,95,54,33,18,10,7,6,4,6,2,2,0,0,0,0,0,1,0,0,0,0,4,10,24,57,85,120,104,95,54,33,18,10,7,6,4,6,2,2,0,0,0,0,0,1
1995,7,"OR",0,0,599,106,0,0,0,2,0,1,8,37,49,108,87,84,60,41,28,27,12,7,11,16,12,4,4,0,1,0,0,0,0,0,0,2,0,1,8,37,49,108,87,84,60,41,28,27,12,7,11,16,12,4,4,0,1,0,0,0
1996,7,"OR",0,0,329,77,0,0,0,0,0,2,5,18,47,58,51,60,32,31,8,9,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,18,47,58,51,60,32,31,8,9,2,4,0,1,0,0,0,1,0,0,0,0
1997,7,"OR",0,0,443,110,0,0,0,1,1,14,19,39,62,57,60,64,40,33,8,9,7,7,10,5,4,2,1,0,0,0,0,0,0,0,0,1,1,14,19,39,62,57,60,64,40,33,8,9,7,7,10,5,4,2,1,0,0,0,0,0
1998,7,"OR",0,0,705,169,0,0,0,0,2,7,21,49,103,77,106,80,63,56,41,17,18,20,10,11,12,4,4,2,1,0,1,0,0,0,0,0,2,7,21,49,103,77,106,80,63,56,41,17,18,20,10,11,12,4,4,2,1,0,1,0
1999,7,"OR",0,0,765,165,0,0,0,1,1,5,22,62,95,104,120,104,61,49,38,29,19,19,13,12,5,3,0,2,0,0,1,0,0,0,0,1,1,5,22,62,95,104,120,104,61,49,38,29,19,19,13,12,5,3,0,2,0,0,1,0
2000,7,"OR",0,0,365,94,0,0,0,0,0,3,10,29,47,66,74,52,27,12,7,11,8,6,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,29,47,66,74,52,27,12,7,11,8,6,11,2,0,0,0,0,0,0,0,0
2001,7,"OR",0,0,1183,500,0,0,0,0,0,2,13,25,86,155,185,178,157,98,50,46,49,48,37,24,16,11,3,0,0,0,0,0,0,0,0,0,0,2,13,25,86,155,185,178,157,98,50,46,49,48,37,24,16,11,3,0,0,0,0,0
2002,7,"OR",0,0,1693,660,0,0,0,0,0,4,25,53,106,182,242,275,190,116,72,89,55,65,67,72,54,12,7,4,0,1,1,1,0,0,0,0,0,4,25,53,106,182,242,275,190,116,72,89,55,65,67,72,54,12,7,4,0,1,1,1
2003,7,"OR",0,0,1881,805,0,0,0,0,0,2,15,51,151,260,281,296,256,153,113,66,54,47,46,46,23,7,6,6,1,0,1,0,0,0,0,0,0,2,15,51,151,260,281,296,256,153,113,66,54,47,46,46,23,7,6,6,1,0,1,0
2004,7,"OR",0,0,23,18,0,0,0,0,0,0,1,2,1,3,3,1,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,1,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0
2005,7,"OR",0,0,18,11,0,0,0,0,0,0,0,0,2,0,0,3,5,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,7,"OR",0,0,20,11,0,0,0,0,0,0,0,0,1,3,0,2,5,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,5,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0
2007,7,"OR",0,0,9,8,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,7,"OR",0,0,29,19,0,0,0,0,0,1,0,1,0,2,7,3,6,3,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,3,6,3,0,0,2,3,0,0,0,1,0,0,0,0,0,0
2009,7,"OR",0,0,16,9,0,0,0,0,0,0,0,1,1,2,4,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,7,"OR",0,0,28,17,0,0,0,0,0,0,0,1,0,4,2,7,4,5,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,7,4,5,1,2,0,0,0,0,1,1,0,0,0,0,0,0
2011,7,"OR",0,0,47,20,0,0,0,0,0,0,0,0,2,12,10,10,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,10,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,7,"OR",0,0,32,15,0,0,0,0,0,0,0,0,1,0,5,8,4,3,4,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,4,3,4,2,2,1,1,0,0,1,0,0,0,0,0,0
2013,7,"OR",0,0,20,12,0,0,0,0,0,0,1,0,3,4,4,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
2014,7,"OR",0,0,19,12,0,0,0,0,0,0,0,1,1,0,6,3,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,3,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,7,"OR",0,0,2207,917,0,0,0,0,1,5,15,41,106,198,320,317,402,258,173,103,71,61,43,37,27,14,11,2,2,0,0,0,0,0,0,0,1,5,15,41,106,198,320,317,402,258,173,103,71,61,43,37,27,14,11,2,2,0,0,0
2016,7,"OR",0,0,1823,826,0,0,0,0,0,1,9,55,158,219,268,296,269,178,105,72,32,41,43,25,27,15,6,2,2,0,0,0,0,0,0,0,0,1,9,55,158,219,268,296,269,178,105,72,32,41,43,25,27,15,6,2,2,0,0,0
2017,7,"OR",0,0,3337,1014,0,0,0,0,0,3,14,63,210,427,607,641,498,288,163,96,74,61,58,58,39,21,11,3,2,0,0,0,0,0,0,0,0,3,14,63,210,427,607,641,498,288,163,96,74,61,58,58,39,21,11,3,2,0,0,0
2018,7,"OR",0,0,4018,1230,0,0,0,0,0,4,10,44,188,398,620,741,594,405,231,153,109,142,123,97,76,47,28,7,1,0,0,0,0,0,0,0,0,4,10,44,188,398,620,741,594,405,231,153,109,142,123,97,76,47,28,7,1,0,0,0
2019,7,"OR",0,0,3906,1280,0,0,0,1,0,4,9,48,159,336,547,683,616,416,282,160,137,163,114,87,61,46,22,10,5,0,0,0,0,0,0,1,0,4,9,48,159,336,547,683,616,416,282,160,137,163,114,87,61,46,22,10,5,0,0,0
2020,7,"OR",0,0,357,133,0,0,0,0,0,0,0,2,10,44,62,48,48,26,17,24,13,24,15,8,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,10,44,62,48,48,26,17,24,13,24,15,8,8,2,6,0,0,0,0,0
2021,7,"OR",0,0,3646,913,0,0,0,0,0,4,24,60,167,329,491,493,476,334,224,157,185,207,157,142,83,61,36,7,6,0,1,2,0,0,0,0,0,4,24,60,167,329,491,493,476,334,224,157,185,207,157,142,83,61,36,7,6,0,1,2
2022,7,"OR",0,0,3211,912,0,0,0,0,0,0,5,27,78,244,337,403,347,322,205,160,207,222,207,191,118,84,36,11,7,0,0,0,0,0,0,0,0,0,5,27,78,244,337,403,347,322,205,160,207,222,207,191,118,84,36,11,7,0,0,0
1999,7,"OR",3,0,393,37,0,0,0,0,0,9,13,17,23,33,29,33,20,17,12,7,8,3,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,4,3,9,22,18,19,26,20,10,8,5,9,2,0,1,0,0,0,0,0,0,0,0
2000,7,"OR",3,0,367,30,0,0,0,0,2,4,18,22,46,39,19,12,7,11,6,9,11,10,15,7,7,6,0,0,0,0,0,0,0,0,0,0,0,2,7,12,20,12,12,5,6,7,6,10,6,5,5,0,1,0,0,0,0,0,0,0
2001,7,"OR",3,0,18,3,0,0,0,0,0,0,0,1,2,4,1,1,0,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"OR",3,0,615,139,0,0,0,0,0,0,0,6,16,37,46,47,50,49,18,14,10,4,7,5,4,4,0,2,0,0,0,0,0,0,0,0,0,1,1,6,14,32,48,64,46,30,19,13,7,6,8,0,1,0,0,0,0,0,0,0
2016,7,"OR",3,0,500,120,0,0,0,0,0,0,1,5,16,29,38,62,45,41,21,13,6,5,16,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,22,29,42,31,11,6,7,14,2,6,2,1,1,0,0,0,0,0,0
2017,7,"OR",3,0,699,129,0,0,0,0,0,1,1,6,25,46,73,49,43,21,11,12,8,10,16,23,11,12,1,1,2,0,0,0,0,0,0,0,0,0,6,9,32,58,65,47,28,17,13,10,22,8,6,2,2,1,1,0,0,0,0,0
2018,7,"OR",3,0,559,130,0,0,0,0,0,2,1,3,17,33,58,53,38,26,18,9,6,12,11,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,41,42,49,19,13,13,9,16,8,13,3,3,0,0,1,0,0,0,0
2019,7,"OR",3,0,584,133,0,0,0,0,0,0,1,1,9,20,52,53,43,36,21,12,10,12,11,10,7,9,1,0,1,0,0,0,0,0,0,0,0,0,0,7,9,24,55,62,32,17,18,11,8,16,9,3,3,1,0,0,0,0,0,0
2020,7,"OR",3,0,575,103,0,0,0,0,0,0,1,4,13,23,47,70,62,42,19,6,9,7,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,18,49,54,37,20,16,12,14,7,4,3,0,0,0,0,0,0,0,0
2021,7,"OR",3,0,609,130,0,0,0,0,1,0,0,3,18,37,58,39,48,34,31,18,15,16,10,15,6,6,1,2,0,0,1,0,0,0,0,0,0,0,0,6,7,30,32,46,43,18,17,14,11,14,6,4,1,1,0,0,0,0,0,0
2022,7,"OR",3,0,658,150,0,0,0,0,0,0,0,3,6,20,44,50,51,39,26,22,13,24,17,11,5,13,8,1,0,0,0,0,0,0,0,0,0,0,0,3,10,19,43,57,29,49,15,25,21,16,12,5,1,0,0,0,0,0,0,0
