"year","month","fleet","sex","partition","Nsamp","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
2002,7,"WA",0,0,56,1,0,0,0,0,0,0,0,0,2,7,8,18,8,8,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,7,8,18,8,8,1,1,1,0,0,0,0,0,0,1,0,0,0
2003,7,"WA",0,0,32,0,0,0,0,0,0,0,0,0,1,2,4,3,3,5,2,3,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,3,5,2,3,2,2,2,0,3,0,0,0,0,0,0
2004,7,"WA",0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"WA",0,0,10,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2006,7,"WA",0,0,11,0,0,0,0,0,0,0,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"WA",0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,"WA",0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,7,"WA",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"WA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"WA",0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,7,"WA",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,"WA",0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"WA",0,0,32,0,0,0,0,0,0,0,0,0,1,1,1,5,9,9,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,9,9,2,0,2,1,1,0,0,0,0,0,0,0,0
2016,7,"WA",0,0,28,0,0,0,0,0,0,0,0,0,0,5,3,7,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0
2017,7,"WA",0,0,108,0,0,0,0,0,0,0,0,0,5,7,15,24,19,10,4,7,1,4,6,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,15,24,19,10,4,7,1,4,6,1,3,0,1,0,1,0,0
2018,7,"WA",0,0,270,0,0,0,0,0,0,1,5,5,12,51,44,51,18,21,10,3,6,13,6,9,8,1,5,1,0,0,0,0,0,0,0,0,0,1,5,5,12,51,44,51,18,21,10,3,6,13,6,9,8,1,5,1,0,0,0
2019,7,"WA",0,0,538,0,0,0,0,0,0,0,3,9,28,59,94,83,60,24,23,18,32,22,29,25,14,5,6,3,1,0,0,0,0,0,0,0,0,0,3,9,28,59,94,83,60,24,23,18,32,22,29,25,14,5,6,3,1,0,0
2020,7,"WA",0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,2,0,0,2,1,0,0,0,0
2021,7,"WA",0,0,220,0,0,0,0,0,5,2,6,0,1,8,7,21,12,4,4,16,12,23,28,25,27,12,5,1,1,0,0,0,0,0,0,0,5,2,6,0,1,8,7,21,12,4,4,16,12,23,28,25,27,12,5,1,1,0,0
2022,7,"WA",0,0,6,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1981,7,"WA",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,7,"WA",3,0,142,0,0,0,0,0,0,0,0,0,0,4,12,17,37,12,5,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,15,12,4,3,4,2,0,0,0,0,0,0,0,0,0,0
2003,7,"WA",3,0,197,0,0,0,0,0,0,0,0,1,5,9,12,20,23,19,12,9,6,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,7,12,13,10,6,5,8,0,0,0,1,0,0,0,0,0,0
2004,7,"WA",3,0,40,0,0,0,0,0,0,0,0,0,1,3,4,7,5,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2005,7,"WA",3,0,41,0,0,0,0,0,0,0,0,2,4,9,4,2,2,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2006,7,"WA",3,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"WA",3,0,7,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,"WA",3,0,10,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"WA",3,0,8,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"WA",3,0,11,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"WA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,"WA",3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014,7,"WA",3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"WA",3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"WA",3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2017,7,"WA",3,0,1193,0,0,0,0,0,0,1,7,30,28,41,122,177,104,51,16,13,16,17,26,14,12,20,4,3,1,0,0,0,0,0,0,0,0,2,9,26,33,50,83,113,63,22,14,10,22,19,11,8,3,0,1,0,1,0,0
2018,7,"WA",3,0,430,0,0,0,0,0,1,1,3,11,37,38,37,27,19,16,6,8,2,6,9,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,9,44,50,32,16,19,9,8,5,2,2,1,2,0,0,0,0,0,0,0
2019,7,"WA",3,0,917,0,0,0,0,0,0,1,1,9,25,55,92,61,25,13,23,16,27,30,39,38,25,16,9,0,0,0,0,0,0,0,0,0,0,1,2,11,23,41,73,41,18,17,18,21,33,49,31,28,4,0,1,0,0,0,0
2020,7,"WA",3,0,450,0,0,0,0,0,0,0,0,2,10,25,43,51,31,20,9,6,14,20,20,22,14,8,6,1,0,0,0,0,0,0,0,0,0,0,0,2,9,15,29,21,21,8,3,10,10,4,11,4,1,0,0,0,0,0,0
2021,7,"WA",3,0,999,0,0,0,0,0,0,0,1,2,14,22,35,34,39,26,26,23,36,66,106,121,60,36,14,2,0,0,0,0,0,0,0,0,0,0,0,1,8,22,31,27,29,13,14,31,58,56,28,15,1,1,1,0,0,0,0
2022,7,"WA",3,0,1112,0,0,0,0,0,0,0,2,3,6,14,18,26,16,26,41,41,51,86,99,85,59,27,9,4,1,0,0,0,0,0,0,0,0,0,3,2,5,13,16,22,18,18,45,81,111,79,60,18,7,0,0,0,0,0,0
