"Year","Total Biomass (mt)","Spawning Output","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1909,75442.7,8120.69,74121.5,0.996367004895525,3421.75,1.78,0.000488117,2.40146246365764e-05
1910,75387.8,8115.42,74068.4,0.995720402929953,3415.86,1.92,0.000526841,2.59219856240988e-05
1911,75330.4,8109.92,74013.1,0.995045581144252,3409.63,2.07,0.000568376,2.79680218772082e-05
1912,75270.6,8104.19,73955.4,0.994342539538422,3403.02,2.21,0.000607236,2.98828753546056e-05
1913,75208.2,8098.23,73895.2,0.993611278112462,3395.99,2.35,0.000646169,3.18017949745044e-05
1914,75143,8092.05,73832.4,0.992853023815074,3388.55,2.5,0.00068793,3.38604731797964e-05
1915,75075.1,8085.63,73767,0.992065322748856,3380.7,2.64,0.000727023,3.57883606490707e-05
1916,75004.1,8078.97,73698.7,0.991248174913807,3372.43,39.63,0.0141839,0.000537729973527349
1917,74891.3,8068.69,73588.7,0.989986871648896,3363.58,61.62,0.0221538,0.000837356822446925
1918,74751.6,8055.94,73452.1,0.988422512054771,3354.16,64.22,0.0231147,0.000874311285858403
1919,74605.3,8042.28,73308.9,0.98674650012883,3344.2,41.71,0.0149136,0.000568962295164707
1920,74479,8029.92,73185.9,0.985229991534054,3333.71,44.01,0.0157897,0.000601345341110788
1921,74347.4,8016.85,73057.8,0.983626369581488,3322.59,38.49,0.0138403,0.000526843129686358
1922,74218.5,8003.86,72932.7,0.982032563218532,3310.82,35.76,0.0128681,0.000490315043869211
1923,74089.5,7990.76,72807.7,0.980425260419862,3298.44,42.32,0.0152956,0.000581257202191526
1924,73950.3,7976.78,72672.7,0.97870998613548,3285.43,44.18,0.0161907,0.000607931176356459
1925,73805.5,7962.5,72532.3,0.976957903390059,3271.84,50.73,0.0187531,0.000699412537586703
1926,73649.5,7947.44,72381.1,0.975110118645939,3257.66,66.55,0.0244183,0.000919438914302214
1927,73472.4,7930.44,72208.9,0.973024305853772,3242.97,60.24,0.0219558,0.000834246194028714
1928,73297,7913.37,72038.7,0.970929904420696,3227.94,62.82,0.022879,0.000872031283185288
1929,73114.4,7895.47,71861.4,0.968733666245414,3212.74,73.85,0.0262773,0.0010276727144197
1930,72915.8,7875.55,71668.5,0.966289584432475,3197.45,78.69,0.0285947,0.00109797191234643
1931,72707.4,7854.98,71465.8,0.963765750953953,3182.18,88.29,0.0323459,0.00123541610112809
1932,72483.5,7832.88,71247.7,0.961054194324135,3166.99,65.43,0.0251479,0.000918345434308757
1933,72277.5,7812.81,71047.7,0.958591708280677,3151.67,61.84,0.0235126,0.000870401153028177
1934,72069.9,7792.21,70845.9,0.956064193956051,3135.63,62.11,0.0241577,0.000876691523433255
1935,71856.5,7771.35,70638.5,0.953504778965191,3118.08,73.8,0.0288877,0.00104475604663179
1936,71625,7748.95,70413,0.950756413874336,3097.95,67.37,0.026538,0.000956783548492466
1937,71394.4,7726.61,70188.6,0.948015410475688,3074.7,75.48,0.0294879,0.00107538831092229
1938,71149.2,7702.63,69950.1,0.945073187490031,3048.52,74.49,0.0292672,0.00106490198012583
1939,70898.5,7678.14,69706.9,0.942068390120609,3020.81,81.02,0.0314849,0.00116229526775685
1940,70633.8,7652.02,69450.7,0.938863600112879,2992.28,175.63,0.0622044,0.00252884420171431
1941,70265.9,7612.96,69092.5,0.9340711384857,2965.89,218.94,0.0753377,0.0031687954553678
1942,69848.7,7567.48,68685.6,0.928490975792302,2942.91,382.75,0.12128,0.00557249263309922
1943,69262.6,7498.74,68109.8,0.920056930419739,2923,1254.46,0.330308,0.0184182011986528
1944,67796.2,7315.67,66653.7,0.897595180545501,2903.24,1887.07,0.453635,0.0283115565977583
1945,65713.7,7052.56,64580.5,0.86531293326626,2890.76,3813.72,0.68366,0.0590537391317813
1946,61723.1,6544.61,60598.2,0.802990073985007,2874.59,2377.54,0.562999,0.0392344987144833
1947,59302.4,6230.3,58184.8,0.764425849355238,2872.04,1345.83,0.400268,0.0231302676987804
1948,58011.8,6051.1,56900.1,0.742438928628394,2883.94,1272.57,0.394772,0.0223649870562618
1949,56849.2,5892.51,55742.1,0.722980749174877,2906.68,1235.85,0.392186,0.0221708547040747
1950,55773.6,5746.78,54669.2,0.705100425751199,2941.89,1237.31,0.398377,0.0226326706811148
1951,54745.1,5609.63,53638.3,0.688272824313215,2989.08,1223.76,0.404427,0.0228150407451392
1952,53776.8,5484.56,52662.6,0.672927376906372,3049.76,1158.86,0.391326,0.0220053700349014
1953,52925.1,5372.06,51798.6,0.65912420401703,3125.58,956.31,0.343657,0.0184620819867718
1954,52333.6,5289.93,51189.7,0.64904727433346,3222.4,1172.83,0.400918,0.0229114450758649
1955,51577.4,5186.23,50411.7,0.63632381630124,3345.95,1167.91,0.404517,0.0231674393047646
1956,50892.2,5088.16,49698.4,0.624291130387838,3517,1541.02,0.48889,0.0310074368591343
1957,49903.3,4948.58,48673.5,0.607165380415445,3763.38,1567.41,0.499726,0.032202533205954
1958,48984.7,4810.7,47706.8,0.590248211722268,4149.2,1300.01,0.457227,0.0272499937115883
1959,48448.2,4716.39,47105.4,0.578676858520545,4799.09,1347.41,0.466955,0.0286041515410123
1960,47987.9,4620.36,46556.1,0.566894470142203,4961.06,1456.77,0.490335,0.0312906364579507
1961,47589.2,4516.84,46025.5,0.554193097186607,5549.12,1363.86,0.47108,0.0296327036099553
1962,47481.5,4432.07,45758.8,0.5437922530459,4798.34,1643.56,0.530455,0.0359178999449286
1963,47320.6,4325.44,45438.1,0.530709299044207,3780.46,1114.54,0.417508,0.0245287545033793
1964,47924.7,4296.6,45991.7,0.527170778989731,3213.29,1347.75,0.469168,0.0293042005405323
1965,48455.7,4254.6,46539.7,0.522017594444376,3082.63,1484.61,0.496759,0.0318998618383874
1966,48928,4218.23,47305.7,0.51755518201784,3416.99,3344.32,0.739398,0.0706959203647763
1967,47531.7,3988.09,46174.4,0.489318184606702,4447.12,1509.3,0.506276,0.0326869434145327
1968,47984,3996.2,46704.5,0.490313240003435,7160.16,2423.54,0.647808,0.0518909312807117
1969,47428.3,3938.4,46102.6,0.483221476510067,3546.21,1229.95,0.435419,0.0266785387375116
1970,48144.4,4034.48,46559.2,0.495009999631915,2402.25,1555.2,0.498989,0.03340263578412
1971,48591,4119.71,46661,0.50546728341288,2437.38,2015.93,0.5718,0.0432037461691777
1972,48565.5,4162.43,46526.2,0.510708808264726,3976.96,1923.69,0.558584,0.0413463811787767
1973,48535.1,4209.63,47338.7,0.516500006134744,4936.94,2781.47,0.677075,0.0587567888429551
1974,47506.6,4141.02,46480.5,0.508081911095297,3128.16,2316.58,0.630559,0.0498398253030841
1975,46905.7,4099.94,45667.9,0.50304160583046,3585.02,2044.69,0.597241,0.0447730243781737
1976,46542,4076.17,44947,0.50012514876753,4681.87,1762.76,0.556095,0.0392186352815538
1977,46390.1,4089.42,44796.3,0.501750855796719,2654.82,1855.26,0.57206,0.0414154740458475
1978,46148.9,4099.11,44828.1,0.502939769088254,3957,4346.23,0.81729,0.0969532503050542
1979,43352.5,3828.23,41897.9,0.469704182668123,3457.86,2920.97,0.733744,0.069716381966638
1980,41986.4,3694.5,40503.3,0.453296197685975,1846.16,4574.38,0.851089,0.112938451928608
1981,38980.4,3348.03,37780.4,0.410786106032907,3632.8,3580.22,0.820975,0.0947639516786482
1982,36940,3109.74,35594.9,0.38154914543023,2872.5,5702.23,0.91906,0.160197949706278
1983,32725.2,2646.38,31604,0.32469725040796,2176.49,5296.95,0.918952,0.167603784331097
1984,28955.3,2220.61,27985.6,0.272457455553783,2962.93,2810.74,0.833735,0.100435223829398
1985,27688.6,2074.23,26467.5,0.254497380464523,2718.98,3052.85,0.860985,0.115343345612544
1986,26160.9,1922.03,25147.5,0.23582322123112,2313.78,2697.99,0.849597,0.10728660900686
1987,24969.7,1815.37,24023,0.222736586383323,2554.93,3434.39,0.899157,0.142962577529867
1988,23010.8,1638.48,21949.8,0.201033090806473,2520.97,3473.78,0.911806,0.15826021193815
1989,20999.9,1451.72,20015.7,0.178118596861465,3159.44,3674.14,0.931889,0.18356290312105
1990,18777.1,1242.09,17845.8,0.152398071236642,2705.78,3264.91,0.935148,0.182951170583555
1991,16975,1074.56,15983.5,0.131842999644185,2125.96,3915.34,0.960543,0.244961366409109
1992,14567.4,838.684,13534.5,0.102902224457995,2322.14,3301.56,0.962485,0.243936606450183
1993,12787.8,662.136,11710.5,0.0812406905267291,1464.83,2899.3,0.963325,0.247581230519619
1994,11433.8,525.828,10512.1,0.0645163981693925,1644.04,1429.43,0.900171,0.135979490301652
1995,11511.8,514.806,10717.1,0.0631640553108475,1894.57,1331.69,0.883203,0.124258428119547
1996,11635,525.746,10891.2,0.0645063371900421,1706.13,1591.04,0.906663,0.146084912589981
1997,11449,520,10849.1,0.0638013324662896,1305.06,1486.5,0.894963,0.137015973675236
1998,11303.1,529.632,10652.8,0.0649831294553575,1223.6,1497.75,0.893412,0.140596838389907
1999,11079.3,537.577,10417.1,0.0659579401985203,1068.68,900.9,0.783403,0.0864828023154237
2000,11369.6,592.674,10795.2,0.0727180594579341,1291.67,204.75,0.294663,0.0189667630057803
2001,12270.1,709.515,11787.2,0.0870538507784989,1728.17,122.42,0.182802,0.0103858422695806
2002,13186.3,838.362,12721.9,0.102862716709814,1726.2,97.05,0.154333,0.0076285774923557
2003,14089.4,970.194,13602.4,0.11903782682846,2549.17,68.83,0.110403,0.00506013644650944
2004,14981.9,1104.4,14397.9,0.135504214568789,1967.72,47.17,0.0734212,0.0032761722195598
2005,15896.7,1237.28,15200.5,0.151807908911328,1125.52,59.78,0.090953,0.00393276536956021
2006,16828.7,1363.05,16069,0.167239242727262,1555.3,58.98,0.0857073,0.00367042130810878
2007,17768.4,1482.18,16929.7,0.181855882605548,2528.36,52.29,0.0679457,0.00308865484917039
2008,18677.5,1592.49,18040.5,0.195390353729311,1040.31,39.69,0.0499886,0.00220004988775256
2009,19607.3,1693.3,19060.2,0.207759223586862,1491.63,47.31,0.0599846,0.00248213554946958
2010,20510,1787.62,19818.9,0.219331803737286,2244.5,44.73,0.0563883,0.00225693656055583
2011,21370.4,1880.68,20621,0.230749788351349,2260.35,59.08,0.0701692,0.00286504049270161
2012,22186.1,1976.95,21657.2,0.242561623498522,2226.18,47.07,0.055055,0.00217341115194947
2013,23009.5,2080.28,22297.5,0.255239684428794,2659.6,45,0.0523764,0.00201816347124117
2014,23827.4,2188.19,22970.5,0.26847968786425,1302.4,54.09,0.0630714,0.00235475936527285
2015,24672.1,2294.77,23804.9,0.281556507122437,1795.31,113.69,0.117386,0.00477590748123286
2016,25458.3,2389.92,24599.4,0.293230924015067,2338.95,75.61,0.0796021,0.00307365220289926
2017,26248.3,2481.3,25439.4,0.304442781247316,1153,399.66,0.31269,0.0157102761857591
2018,26676,2538.29,26078.6,0.311435161895881,965.035,598.69,0.420634,0.0229571372696387
2019,26838.1,2566.4,26128.4,0.314884114695165,1387.64,581.78,0.416446,0.0222661931078826
2020,26923.6,2592.05,26236.5,0.318031238113934,1876.8,513.68,0.38638,0.0195788310178568
2021,26986.7,2621.98,26527.6,0.32170349557685,3115.76,558.68,0.407537,0.0210603296189629
2022,26914.8,2645.85,26416.4,0.324632222126793,2698.68,700.36,0.485339,0.0265123181054194
2023,26685.3,2651.87,25990.8,0.32537084524496,2929.31,0,0,0
2024,27237.5,2719.21,26317.3,0.333633117799345,2947.46,0,0,0
2025,27892.6,2783.33,26754.5,0.341500312871919,2964.12,594.536684286,0.443611,0.0222219321716347
2026,28037.7,2783.31,26959.4,0.341497858974516,2964.11,588.607986797,0.441883,0.0218331263602677
2027,28295.6,2773.49,27167.3,0.340292995349864,2961.6,593.127915079,0.440027,0.0218324204127388
2028,28652.5,2755.28,27518.6,0.338058721764843,2956.9,606.357059749,0.437756,0.0220344443303438
2029,29088.2,2733.22,27951.1,0.335352072929831,2951.15,624.792885361,0.43493,0.0223530696595483
2030,29581.7,2715.51,28445.3,0.333179146779873,2946.48,647.339339007,0.432648,0.0227573391388736
2031,30112.1,2710.66,28977,0.332584076659755,2945.19,671.527298226,0.430997,0.02317449350264
2032,30661.8,2723.43,29528.5,0.334150890151283,2948.57,695.168544164,0.429862,0.0235422911480096
2033,31216.7,2753.19,30085.1,0.337802289486277,2956.36,718.542632351,0.429884,0.0238836710647796
2034,31765.5,2795.91,30634.6,0.343043814338122,2967.32,739.871670586,0.430465,0.0241515042006751
