"Year","1_CA_TWL","2_OR_TWL","3_WA_TWL","4_CA_NTWL","5_OR_NTWL","6_WA_NTWL","7_CA_REC","8_OR_REC","9_WA_REC","10_CA_ASHOP","11_OR_ASHOP","12_WA_ASHOP","13_CA_FOR","14_OR_FOR","15_WA_FOR","Total Catch"
1933,38.35,0.49,0,10.95,4.74,0,7.31,0,0,0,0,0,0,0,0,61.84
1934,32.92,0.02,0.3,15.23,5.11,0,8.53,0,0,0,0,0,0,0,0,62.11
1935,33.66,0.39,2.32,23.1,4.59,0,9.74,0,0,0,0,0,0,0,0,73.8
1936,20.19,1.42,2.99,20.84,10.97,0,10.96,0,0,0,0,0,0,0,0,67.37
1937,30.74,2.77,2.67,13.23,13.07,0,13,0,0,0,0,0,0,0,0,75.48
1938,31.33,0,3.94,13.54,12.9,0,12.78,0,0,0,0,0,0,0,0,74.49
1939,41.48,3.95,4.13,12.93,7.35,0,11.18,0,0,0,0,0,0,0,0,81.02
1940,33.82,90.77,9.14,9.56,16.27,0,16.07,0,0,0,0,0,0,0,0,175.63
1941,26.81,139.74,3.42,12.35,21.77,0,14.85,0,0,0,0,0,0,0,0,218.94
1942,6.49,262.48,66.47,9.18,30.24,0,7.89,0,0,0,0,0,0,0,0,382.75
1943,32,917.6,214.84,7.63,74.85,0,7.54,0,0,0,0,0,0,0,0,1254.46
1944,133.59,1610.2,89.28,28.56,19.25,0,6.19,0,0,0,0,0,0,0,0,1887.07
1945,303.46,2484.51,935.69,69.53,12.27,0,8.26,0,0,0,0,0,0,0,0,3813.72
1946,275.2,1529.76,471.69,71.6,15.07,0,14.22,0,0,0,0,0,0,0,0,2377.54
1947,110.43,953.64,246.41,16.38,7.63,0,11.34,0,0,0,0,0,0,0,0,1345.83
1948,125.66,679.51,400.13,32.05,12.54,0,22.68,0,0,0,0,0,0,0,0,1272.57
1949,110.7,588.37,486.65,12.4,8.36,0,29.37,0,0,0,0,0,0,0,0,1235.85
1950,99.81,616.19,467.66,10.07,7.77,0,35.81,0,0,0,0,0,0,0,0,1237.31
1951,200.97,566.89,391.25,16.28,5.98,0,42.39,0,0,0,0,0,0,0,0,1223.76
1952,143.5,587.21,373.14,12.27,5.69,0,37.05,0,0,0,0,0,0,0,0,1158.86
1953,137.2,615.48,161.8,7.15,2.97,0,31.71,0,0,0,0,0,0,0,0,956.31
1954,98.34,781.51,232.09,17.49,3.47,0,39.93,0,0,0,0,0,0,0,0,1172.83
1955,104.96,787.13,219.01,4.11,4.3,0,48.4,0,0,0,0,0,0,0,0,1167.91
1956,102.5,1166.09,209.22,6.38,2.74,0,54.09,0,0,0,0,0,0,0,0,1541.02
1957,116.04,1214.61,173.08,7.01,5.95,0,50.72,0,0,0,0,0,0,0,0,1567.41
1958,154.23,830.09,219.11,9.11,1.19,0,86.28,0,0,0,0,0,0,0,0,1300.01
1959,115.29,908.86,244.95,6.3,2.44,0,69.57,0,0,0,0,0,0,0,0,1347.41
1960,88.49,1082.92,221.5,8.04,1.62,0,54.2,0,0,0,0,0,0,0,0,1456.77
1961,69.05,982.77,262.94,6.53,4.51,0,38.06,0,0,0,0,0,0,0,0,1363.86
1962,68.73,1148.46,366.37,9.34,4.12,0,46.54,0,0,0,0,0,0,0,0,1643.56
1963,97.1,660.5,294.94,8.68,3.69,0,49.63,0,0,0,0,0,0,0,0,1114.54
1964,61.43,1014.13,217.72,8.15,0.85,0,45.47,0,0,0,0,0,0,0,0,1347.75
1965,82.47,832.24,485.18,9.07,6.21,0,69.44,0,0,0,0,0,0,0,0,1484.61
1966,59.78,934.57,664.13,7.24,4.21,0,75.39,0,0,0,0,0,41,1445,113,3344.32
1967,82.33,151.99,324.21,7.68,11.88,0,79.39,0,0.82,0,0,0,103,658,90,1509.3
1968,79.6,873.22,559.54,4.84,10.82,0,84.36,0,1.16,0,0,0,415,286,109,2423.54
1969,198.25,282.54,545.4,18.97,23.98,0,92.32,0,1.49,0,0,0,5,50,12,1229.95
1970,217.59,592.93,504.6,11.97,9.34,0,115.94,0,1.83,0,0,0,0,73,28,1555.2
1971,329.74,776.69,578.12,21.14,19.02,0,101.06,0,2.16,0,0,0,0,118,70,2015.93
1972,409.43,752.71,161.23,40.85,24.72,0,133.26,0,2.49,0,0,0,13,318,68,1923.69
1973,318.19,928.1,361.24,19.55,26.28,0,155.22,5.06,2.83,0,0,0,372,525,68,2781.47
1974,400.09,585.06,552.18,49.98,33.22,0,163.78,10.11,3.16,0,0,0,150,81,288,2316.58
1975,435.18,415.04,759.43,35.95,17.5,0,158.92,15.17,3.5,0,0,0,63,141,0,2044.69
1976,474.82,267.32,579.15,50.03,23.28,0,175.23,20.23,1.56,0,8.14,0,49,114,0,1762.76
1977,460.36,622.26,486.05,59.51,28.71,0,167.54,25.29,4.01,0,1.53,0,0,0,0,1855.26
1978,653.84,1877.68,1413.42,146.02,44.84,0,161.3,30.34,5.87,0.43,11.93,0.56,0,0,0,4346.23
1979,314.64,1409.24,711.77,128.65,126.67,0,178.88,35.4,4.21,0.03,11.17,0.31,0,0,0,2920.97
1980,442.71,2983.21,763.35,95.77,72.85,0,165.98,37.25,2.71,0.4,8.44,1.71,0,0,0,4574.38
1981,546.82,2041.26,533.52,172.23,79.16,0,153.09,47.18,2.34,2.81,1.48,0.33,0,0,0,3580.22
1982,807.07,3896.97,451.24,45.34,145.61,0,275.61,50.54,2.54,0.06,0.22,27.03,0,0,0,5702.23
1983,513.09,3573.6,674.93,70.03,298,0,105.62,28.91,4.43,0.05,2.06,26.23,0,0,0,5296.95
1984,402.05,1354.99,635.6,63,200.51,0,107.43,36.01,7.82,0.04,1.17,2.12,0,0,0,2810.74
1985,332.45,1132.95,1076.48,117.41,199.27,0,163.8,19.31,3.78,0,4.59,2.81,0,0,0,3052.85
1986,172.26,1099.88,932.4,58.65,158.56,0,226.85,38.5,6.17,0.03,0.86,3.83,0,0,0,2697.99
1987,213.87,1597.48,1054.33,52.95,250.5,0,225.16,24.97,6.35,0,2.47,6.31,0,0,0,3434.39
1988,231.73,1745.71,1015.62,56.52,208.26,0,184.24,19.51,6.11,0.16,3.69,2.23,0,0,0,3473.78
1989,188.26,1652.38,1253.67,224.91,204.2,0,115.6,22.81,9.41,0.28,1.57,1.05,0,0,0,3674.14
1990,337.9,1099.46,1140.75,216.69,268.02,0,175,14.16,8.88,0.06,2.16,1.83,0,0,0,3264.91
1991,151.1,2095.84,1007.67,167.21,295.09,0,165.67,19.25,9.66,0.02,2.08,1.75,0,0,0,3915.34
1992,233.44,1691.55,855.62,131.96,185.19,0,156.35,26.36,18.83,0,0.09,2.17,0,0,0,3301.56
1993,93.33,1716.38,300.56,112.06,460.56,0,161.97,35.6,17.99,0,0.16,0.69,0,0,0,2899.3
1994,124.64,754.2,155.08,97.73,120.85,0,133.69,28.25,10.38,0,0.66,3.95,0,0,0,1429.43
1995,132.9,583.47,162.44,115.08,116.34,3.64,173.38,35.18,8.85,0,0.15,0.26,0,0,0,1331.69
1996,219,792.76,191.37,125.65,164.18,3.55,63.08,21.97,8.48,0,0.02,0.98,0,0,0,1591.04
1997,176.01,602.31,205.07,104.26,251.43,5.62,102.59,28.05,8.03,0,0.46,2.67,0,0,0,1486.5
1998,159.13,713.18,204.63,81.2,246.31,6.24,26.6,41.98,13.49,0,0.25,4.74,0,0,0,1497.75
1999,99.82,399.48,141.09,30.61,118.76,6.46,64.87,25.09,7.9,0,0.07,6.75,0,0,0,900.9
2000,14.81,40.58,13,13.46,12.53,3.79,77.06,20.82,6.23,0,0.24,2.23,0,0,0,204.75
2001,10.57,20.46,9.46,10.87,11.62,5.58,33.37,11.13,5.41,0,1.04,2.91,0,0,0,122.42
2002,16.14,29.42,23.66,0.11,0.5,4.31,6.21,9.11,2.35,0,2.41,2.83,0,0,0,97.05
2003,1.24,16.77,10.78,2.17,0.49,7.16,18.11,9.03,2.15,0,0.24,0.69,0,0,0,68.83
2004,2.39,7.61,7.78,2.38,5.86,2.23,10.59,2.16,0.95,0,4.49,0.73,0,0,0,47.17
2005,3.12,15.39,23.84,1.56,1.84,2.18,5.83,3.17,1.41,0,0.53,0.91,0,0,0,59.78
2006,9.39,16.41,9.14,2.56,2.74,1.09,14.08,1.73,0.75,0,0.45,0.64,0,0,0,58.98
2007,20.19,3.4,4.03,3.35,1.93,0.77,14.05,1.93,0.65,0,1.75,0.24,0,0,0,52.29
2008,9.94,4.57,3.24,1.22,0.89,5.38,7.56,2.54,0.57,0,0.53,3.25,0,0,0,39.69
2009,1.65,7.52,5.41,1.62,3.15,3.41,17.97,3.47,0.56,0,0.03,2.52,0,0,0,47.31
2010,0.49,3.95,6.74,5.22,1.03,4.79,15.76,4.54,1.04,0,0.03,1.14,0,0,0,44.73
2011,0.35,3.12,3.59,12.97,4.29,9.72,19.78,3.08,1.1,0,0.01,1.07,0,0,0,59.08
2012,0.56,6.69,5.05,4.25,1.89,6.12,18.16,2.97,0.97,0,0.1,0.31,0,0,0,47.07
2013,1.53,6.08,4.58,6.37,2.76,3.29,14.8,3.99,0.97,0,0.08,0.55,0,0,0,45
2014,1.99,10.33,2.16,4.4,1.82,5.98,22.37,3.02,1.39,0,0.37,0.26,0,0,0,54.09
2015,7.05,41.07,3.95,5.22,3.2,9.63,26.87,14.32,2.17,0,0.08,0.13,0,0,0,113.69
2016,2.83,17,5.03,3.09,6.66,5.14,23.71,9.75,1.88,0,0.23,0.29,0,0,0,75.61
2017,75.32,148.06,37.29,7.19,5.65,3.28,83.43,28.24,4.63,0,1.8,4.77,0,0,0,399.66
2018,139.66,173.89,156.27,7.49,4.38,2.17,61.84,43.59,3.85,0,3.02,2.53,0,0,0,598.69
2019,176.22,194.5,65.41,10.64,6.23,1.73,71.37,38.71,11.95,0,0.71,4.31,0,0,0,581.78
2020,73.67,186.61,78.89,18.63,7.47,2.95,76.7,60.57,7.26,0,0.21,0.72,0,0,0,513.68
2021,78.46,223.46,73.59,25.62,6.55,1.37,72.97,38.56,32.18,0,3.25,2.67,0,0,0,558.68
2022,90.08,315.27,102.41,22.53,10.99,0.89,62.6,55.65,34.16,0,4.24,1.54,0,0,0,700.36
