

 Females then males 
"year","month","fleet","sex","partition","ageErr","LbinLo","LbinHi","Ntows","Nsamps","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
1981,7,"TWL.W",3,0,2,-1,-1,18,1456,127,0,0,0,5e-04,0,0.0035,0.0157,0.024,0.0434,0.0555,0.0607,0.0438,0.0446,0.0304,0.0175,0.0149,0.0091,0.0214,0.0015,0.0019,0.002,8e-04,0.0025,0,2e-04,0.0014,6e-04,7e-04,0,1e-04,0,2e-04,6e-04,1e-04,0.0018,0,0,0,5e-04,0.0026,0.0093,0.0208,0.0373,0.0442,0.0522,0.0307,0.0562,0.0427,0.0312,0.0147,0.018,0.0152,0.0125,0.0188,0.0165,0.01,0.0144,0.0129,0.0105,0.0114,0.0174,0.0045,0.0132,0.0067,0.0078,0.0053,0.0012,0.0086,0.0012,0.0525
1982,7,"TWL.W",3,0,2,-1,-1,13,1030,92,0,0,0,0,0.0083,0.0201,0.0156,0.0547,0.059,0.0359,0.042,0.0555,0.0287,0.0279,0.011,0.0093,0.0092,0.0169,0.0101,0.0077,0.002,2e-04,2e-04,4e-04,6e-04,7e-04,0.001,5e-04,0,0,0,0,0,0,5e-04,0,8e-04,0,2e-04,0.0028,0.0158,0.0466,0.0806,0.0675,0.044,0.0424,0.0393,0.0184,0.036,0.0239,0.0085,0.0081,0.0103,0.0069,0.0093,0.0118,0.0102,0.0054,0.0027,0.0015,0.0035,0.0022,0.0038,0.0014,0.0021,0.0013,0.0025,0.0014,3e-04,0.0706
1983,7,"TWL.W",3,0,2,-1,-1,15,1203,106,0,0,0,0,0.0012,0.0109,0.0165,0.0404,0.0486,0.0532,0.0426,0.0284,0.0208,0.0372,0.0364,0.0226,0.0147,0.011,0.0053,0.0098,0.0039,0.0119,0.0031,0.0057,0.0033,0.0017,0.0018,0,0,0,0,0.0018,0,0,0,0,0,0,0,0.0031,0.0242,0.0283,0.0338,0.0431,0.0525,0.0423,0.0367,0.0409,0.0207,0.0295,0.0351,0.0165,0.0099,0.0066,0.007,3e-04,0.0097,0.0066,0.0056,2e-04,0.0076,0.0082,0.007,0.0039,0.0069,0.0064,0.0039,0.0038,0.0022,0.0649
1984,7,"TWL.W",3,0,2,-1,-1,14,947,99,0,0,0,0,0.0019,0.0196,0.0143,0.0115,0.0276,0.0327,0.0435,0.0592,0.0379,0.0187,0.0307,0.0396,0.0232,0.013,0.0067,0.0044,0.0033,0.0023,0.0084,0.0059,0.0027,1e-04,0.0016,0.0016,1e-04,0,1e-04,0,0.0013,0,0.0031,0,0,0,0,0.0077,0.0082,0.0132,0.0176,0.0425,0.0347,0.0438,0.0456,0.0311,0.0531,0.0337,0.0278,0.0249,0.0201,0.0071,0.0175,0.0106,0.0133,0.0103,0.0165,0.0114,0.0071,0.0131,0.0078,0.0081,0.0082,0.0022,0.0055,0.0018,0.0043,0.0363
1985,7,"TWL.W",3,0,2,-1,-1,17,1218,120,0,0,0,0,8e-04,0.0033,0.0079,0.0178,0.0285,0.0382,0.0391,0.0449,0.0377,0.0216,0.0284,0.0232,0.0376,0.0382,0.0166,0.0116,0.0044,0.011,0.0042,0.0076,0.0048,0.0016,0.0025,0.0059,8e-04,0.0029,4e-04,1e-04,1e-04,8e-04,0.0036,0,0,0,0,6e-04,0.001,0.0131,0.0191,0.0302,0.0328,0.0452,0.0513,0.0346,0.0234,0.048,0.0209,0.0253,0.0186,0.0149,0.0198,0.0032,0.0057,0.0092,0.013,0.0104,0.0037,0.0071,0.0088,0.0072,0.0053,0.0049,0.0025,0.0063,0.0033,0.0643
1986,7,"TWL.W",3,0,2,-1,-1,17,1155,120,0,0,0,0,6e-04,0.0027,0.0173,0.0593,0.0475,0.0547,0.0838,0.0313,0.0574,0.0292,0.0155,0.0134,0.0106,0.0087,7e-04,0,1e-04,0,7e-04,0.0021,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.0038,0.0182,0.0598,0.0905,0.086,0.0891,0.067,0.0293,0.0175,0.0202,0.0088,0.0071,0.01,0.005,0.002,0.0037,0.0023,0.003,0.0034,0,2e-04,0,0.0013,0.0059,0.0074,6e-04,0,0,6e-04,0.0172
1987,7,"TWL.W",3,0,2,-1,-1,14,743,99,0,0,0,0,4e-04,7e-04,0.0087,0.0132,0.0798,0.0517,0.0711,0.0603,0.0473,0.0273,0.0094,0.0059,0.0172,0.0031,0.0077,0.009,4e-04,0.0031,0,2e-04,0.0068,2e-04,0,2e-04,2e-04,0.0046,2e-04,0,0,0,7e-04,0,0,0,0,5e-04,0.001,0.0138,0.0443,0.117,0.1087,0.0667,0.0412,0.04,0.0111,0.0174,0.0105,0.005,0.0044,0.0095,0.0049,0.0051,5e-04,0.0034,0.0045,2e-04,0.0074,0,7e-04,0,0,0.0044,0.0047,0,0,0.0436
1988,7,"TWL.W",3,0,2,-1,-1,19,709,117,0,0,0,1e-04,7e-04,0.0019,8e-04,0.0204,0.0311,0.0606,0.0784,0.0816,0.0322,0.0518,0.0369,0.0195,0.0106,0.0159,0.0214,0.0067,0.0089,0,0.0061,4e-04,3e-04,0.0077,0,0,0.0049,0,0,0,0,0,7e-04,0,0,0,0,2e-04,9e-04,0.0116,0.0201,0.0268,0.0558,0.0691,0.0418,0.0483,0.0467,0.0272,0.0134,0.0131,0.0213,0.0064,0.0138,0.0038,3e-04,0.0064,0.001,0.004,0.0013,0.0044,0.0061,6e-04,8e-04,0.0011,0.0024,0,0,0.0518
1989,7,"TWL.W",3,0,2,-1,-1,16,283,55,0,0,0,0.0015,0.0202,0.0146,0.0396,0.0252,0.0129,0.026,0.0341,0.1158,0.0745,0.0677,0.0155,0.0123,0.0108,0.0056,0.0477,0,0.0037,0.0077,0.002,0,0,0,0.0011,0,0,0,0,0.0036,0,0,0,0,0,0,0,0.003,0.0074,0.053,0.0309,0.0399,0.0617,0.0313,0.0134,0.0358,0.0443,0.0067,0.01,0.0061,0.0121,0.0121,0.0036,0.0383,0,0.0011,0,0.0065,0,0,0.002,0.0168,0.0011,0.0036,0,0.011,0,0.0061
1990,7,"TWL.W",3,0,2,-1,-1,15,326,60,0,0,0,0,0.0023,0.0065,0.0078,0.0407,0.0282,0.0666,0.0258,0.0349,0.0429,0.0308,0.034,0.0174,0.0478,0.0023,0.0056,0.0038,0.0023,0.0036,0,0,0.002,0,0,0,0,0,0,0.0018,0,0,0.002,0,0,0,0,0.003,0.0038,0.0272,0.046,0.0863,0.0769,0.0717,0.0296,0.0492,0.0485,0.0229,0.01,0.0039,0.0154,0,0,2e-04,0.0142,2e-04,0.0104,0,0.0018,0,0,0.0021,0.0036,0.0018,0,0.0018,0.0018,0.0588
1991,7,"TWL.W",3,0,2,-1,-1,20,937,141,0,0,0,0,0,0,5e-04,0.0261,0.0268,0.0393,0.0691,0.0472,0.0402,0.0439,0.0268,0.0156,0.0135,0.0183,0.0039,0.0089,0.0026,0.0074,0.0029,0.0021,0.004,0.0036,1e-04,8e-04,8e-04,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0087,0.0287,0.0435,0.0645,0.0763,0.0524,0.0498,0.0437,0.0344,0.0365,0.0141,0.0124,0.0128,0.0112,8e-04,0.0029,0.0136,0.0023,0.0056,0.0065,0.0074,0.0018,0.0027,0,0.0075,0.0022,7e-04,0.0028,0.0488
1992,7,"TWL.W",3,0,2,-1,-1,12,432,72,0,0,0,0.0014,0.0083,0.0111,0.0182,0.0289,0.0193,0.0216,0.0564,0.0585,0.0265,0.0298,0.0171,0.0217,0.0106,0.0056,0.0035,0.0039,0.0024,0,0.0035,9e-04,0,0,0,0,0.0127,0,0,0,0,0,0.0035,0,0,0,5e-04,0.0101,0.0083,0.028,0.0358,0.0525,0.0665,0.0634,0.0474,0.0462,0.0077,0.02,0.0347,0.0205,0.0079,0.0127,0,3e-04,0.0192,0.0148,0.0187,0.0056,0.0044,0.0095,0.0035,0,0.0198,0.0021,0.0035,0.0035,0,0.0673
1993,7,"TWL.W",3,0,2,-1,-1,16,555,93,0,0,0,0.0033,0.0031,0.0197,0.0172,0.0453,0.0542,0.0696,0.0734,0.0449,0.045,0.0105,0.0058,0.0126,0.0065,0.0344,0.0029,0.0014,0.0029,0.0029,0,0,1e-04,0,0.0014,0.0029,0,0,0,0,0,0,0.0017,0,0,0,0,0.0132,0.0322,0.0213,0.0589,0.0508,0.0601,0.0721,0.0515,0.0262,0.041,0.0205,0.0142,0.0156,0.0109,0.0049,0.0082,0,0,0.0029,0.0014,0,0.0048,0,0,0,0,0,0,0,0,0.0273
1996,7,"TWL.W",3,0,2,-1,-1,2,24,5,0,0,0,0,0,0.1314,0.0461,0,0,0.0461,0.0921,0.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0.0197,0.0461,0.1843,0.0461,0.1843,0.0461,0,0,0,0.0461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,"TWL.W",3,0,2,-1,-1,4,6,5,0,0,0,0,0,0,0.037,0.3041,0.2959,0,0,0,0.3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,"TWL.W",3,0,2,-1,-1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0.2546,0.2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2546,0,0,0,0,0,0.2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,"TWL.W",3,0,2,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"TWL.W",3,0,2,-1,-1,16,32,20,0,0,0,0,0,0,0,0.1036,0,0.0369,0.0369,0.0392,0.013,0.066,0.1036,0.1685,0.013,0.0267,0.0133,0.023,0.0134,0,0,0,0,0.0249,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316,0,0,0.0255,0,0.0143,0.0761,0.0413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1036
2003,7,"TWL.W",3,0,2,-1,-1,11,13,13,0,0,0,0,0,0,0.0691,0,0.0788,0,0,0,0,0,0.2303,0,0.0752,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462,0.1662,0,0,0,0,0,0,0,0,0,0,0.0691,0,0,0,0,0,0,0,0,0
2004,7,"TWL.W",3,0,2,-1,-1,10,22,13,0,0,0,0,0.0445,0,0.1309,0.0436,0.0436,0.0872,0,0.0436,0,0,0.0436,0,0.0436,0,0.0792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436,0,0,0,0,0,0.0436,0,0.0872,0.0436,0.0912,0.0436,0,0,0,0,0,0.0436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436
2005,7,"TWL.W",3,0,2,-1,-1,31,411,88,0,0,0,0,0,0.0141,0.0339,0.0668,0.0776,0.099,0.0568,0.0389,0.0371,0.0295,0.0275,0.0143,0.0057,0.0178,0.0134,0.0095,0.0095,0.0114,0,0.0019,0.0057,0.0085,0.002,0.0045,0,0,0,0.0019,0,0,0,0,0,0,0,0.0026,0.0079,0.0306,0.0817,0.0469,0.066,0.0456,0.0322,0.0237,0.0106,0.0108,0.0095,0.0079,0.006,0.0039,0.0019,0.002,0.0019,0.0038,0,0,0.0019,0,0,0,0,0,0.0021,0.0021,0,0.011
2006,7,"TWL.W",3,0,2,-1,-1,26,453,89,0,0,0.0022,0.0063,0.019,0.0671,0.0831,0.0593,0.0421,0.0899,0.023,0.0206,0.0255,0.006,0.0102,0.0167,0.008,0.0084,0.0104,0.008,0.004,0.004,0.006,0,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0.0065,0.0022,0.0124,0.0782,0.0743,0.0505,0.0442,0.035,0.0236,0.0276,0.0248,0.0294,0.0166,0.0124,0.006,0.002,0.002,0.0064,0.004,0,0.008,0,0,0.002,0,0,0,0,0,0,0,0,0.006
2007,7,"TWL.W",3,0,2,-1,-1,44,351,92,0,0,0.001,0.001,0.0128,0.0561,0.1542,0.0842,0.075,0.0183,0.0216,0.0206,0.0163,0.0136,0.0084,0.015,0.0114,0.0094,0.0072,0.0061,0.002,0.002,0.002,0.003,0.004,0.0031,0.001,0.002,0,0.001,0,0,0,0,0.001,0,0,0,0.003,0.028,0.0797,0.0653,0.0519,0.0529,0.0215,0.033,0.0211,0.0131,0.0114,0.0313,0.0075,0.0106,0.003,0.002,0.002,0.001,0,0,0.002,0,0.001,0.0012,0,0.001,0,0,0,0,0,0.003
2008,7,"TWL.W",3,0,2,-1,-1,18,300,59,0,0,0,0,0.0232,0.1001,0.0967,0.0422,0.0327,0.0103,0.0104,0.0157,0.0157,0.0183,0.031,0.0331,0.0258,0.0183,0.0104,0.0209,0.0078,0.0052,0.0052,0,0.0104,0.0184,0.0052,0.0026,0,0.0051,0.0026,0.0026,0,0,0,0,0,0,0,0.0385,0.0925,0.0441,0.0529,0.0237,0.0155,0.0182,0.0209,0.031,0.0173,0.0234,0.0155,0.0078,0.0052,0.0052,0.0026,0,0.0026,0,0,0,0.0026,0.0026,0,0,0,0,0,0,0,0.0077
2009,7,"TWL.W",3,0,2,-1,-1,23,396,78,0,0,0,0,0.0139,0.0074,0.0096,0.0023,0.0243,0.012,0.0373,0.0357,0.0444,0.0457,0.0435,0.0385,0.043,0.0487,0.035,0.0264,0.0235,0.0212,0.0137,0.0079,0.012,0,0.0069,0.0046,0.0023,0,0.0046,0,0,0,0,0,0,0,0,0.0091,0.0188,0.0173,0.0157,0.0366,0.0317,0.0447,0.0459,0.0313,0.0503,0.0328,0.0282,0.0075,0.022,0.0082,0.0076,0.0029,0.0024,0.0075,0.0029,0,0.0023,0,0,0.0029,0,0,0,0.0023,0,0.0046
2010,7,"TWL.W",3,0,2,-1,-1,13,307,55,0,0,0,0,0,0,0,0.002,0.0349,0.0455,0.035,0.0358,0.0586,0.0671,0.0524,0.0205,0.0445,0.0245,0.0244,0.0166,0.0146,0.0139,0.0157,0.0138,0.0098,0.0021,0.0085,0.0052,0.0034,0.0032,0,0,0.0106,0,0.0034,0,0,0,0,0,0,0.0034,0.0085,0.0436,0.0863,0.0522,0.0401,0.0568,0.0379,0.0194,0.0294,0.0091,0.0051,0.0034,0.0091,0.0085,0,0.0021,0,0,0,0.0034,0,0.002,0.0054,0,0,0,0,0.0084
2011,7,"TWL.W",3,0,2,-1,-1,19,343,66,0,0,0,0,0.007,0.0045,0.0377,0.0708,0.0214,0.0233,0.0653,0.0516,0.0255,0.0408,0.0281,0.0136,0.0234,0.0306,0.0141,0.014,0.023,0.0166,0.0122,0.0022,0.0022,0.0141,0,0.0074,0.0024,0.0074,0.0022,0.0044,0.0023,0,0.0022,0,0,0,0,0,0.0165,0.0235,0.0586,0.023,0.0316,0.04,0.0331,0.0211,0.035,0.0248,0.0279,0.0299,0.0166,0.0045,0.009,0,0,0,0.0074,0.0045,0.0024,0.0022,0,0.0044,0.0024,0,0,0.0022,0.0024,0.0068
2012,7,"TWL.W",3,0,2,-1,-1,26,420,84,0,0,0,0.0048,0.0095,0.066,0.0258,0.1251,0.0359,0.0318,0.0205,0.0239,0.013,0.013,0.0421,0.0243,0.0279,0.0085,0.0114,0.0072,0.0184,0.0141,0.007,0.0057,0.0044,0.0056,0,0.0014,0.0014,0.0044,0,0,0.0014,0.0028,0,0,0,0,0.0038,0.0042,0.0838,0.0402,0.0585,0.0266,0.0186,0.0242,0.0302,0.0189,0.0347,0.0177,0.0148,0.0147,0.0115,0.0045,0.0014,0.0101,0.0014,0.0057,0.0029,0.0028,0.0014,0,0.0015,0,0,0,0,0.0014,0.0029,0.0043
2013,7,"TWL.W",3,0,2,-1,-1,22,334,68,0,0,0.0012,0,0,0.0296,0.0985,0.1143,0.071,0.0496,0.0297,0.0223,0.0039,0.0111,0.014,0.0091,0.0143,0.0174,0.0071,0.0071,0.0039,0.003,0.0031,0.0039,0,0.0029,0.002,0,0,0.001,0.001,0.001,0,0,0.0011,0,0,0,0,0.001,0.0371,0.0374,0.0707,0.0777,0.0369,0.0588,0.0174,0.0258,0.0295,0.0172,0.0124,0.0084,0.0147,0,0.0031,0.0072,0.001,0.0042,0.0019,0.0042,0.0042,0,0,0,0,0,0,0,0.001,0.0052
2014,7,"TWL.W",3,0,2,-1,-1,6,81,17,0,0,0,0,0,0.0124,0.0249,0.0491,0.0634,0,0.0503,0.1236,0.0242,0.0118,0.0261,0,0.036,0,0.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0.0917,0.0615,0.0968,0.0484,0.0118,0.0471,0.0118,0.0371,0.0379,0.0242,0.0144,0.0248,0,0,0.0236,0.0118,0,0,0,0,0,0,0,0,0,0
2015,7,"TWL.W",3,0,2,-1,-1,22,284,61,0,0,0,0,0.002,0.0019,0.0039,0.0056,0.0265,0.0076,0.0331,0.0385,0.0552,0.0434,0.0319,0.0214,0.0268,0.0045,0.0185,0.014,0.014,0.0038,0,0,0.0045,0.0103,0.0045,0,0.0045,0.002,0.0085,0,0,0,0.002,0,0,0,0,0.004,0.004,0.0201,0.0349,0.0493,0.0393,0.038,0.0698,0.0675,0.0437,0.0362,0.0524,0.0237,0.0082,0.0183,0.0078,0.0063,0.0146,0.0037,0.0037,0.0019,0,0.0161,0.0129,0.0103,0.0038,0.0056,0.004,0,0.0019,0.0094
2016,7,"TWL.W",3,0,2,-1,-1,28,372,79,0,0,0,0.0023,0.0094,0.1337,0.0413,0.0137,0.0325,0.0129,0.0214,0.0242,0.0191,0.0267,0.019,0.0216,0.0275,0.0126,0.0158,0.009,0.0182,0.003,0.0076,0.003,0.0033,0.0038,0.0015,0.0016,0,0,0,0,0,0.0015,0.0016,0,0,0,0.0023,0.0087,0.0506,0.0267,0.0348,0.0125,0.06,0.0193,0.0382,0.0406,0.0389,0.0345,0.0249,0.006,0.0166,0.0126,0.0139,0.0061,0.0094,0.0043,0.0018,0.0015,0.017,0.0015,0.0031,0.0046,0.0016,0.0016,0.0016,0,0,0.0177
2017,7,"TWL.W",3,0,2,-1,-1,59,865,178,0,0,4e-04,0.001,0.0025,0.0289,0.0414,0.0199,0.0355,0.0268,0.023,0.0349,0.0187,0.0182,0.0235,0.0301,0.0307,0.0232,0.0212,0.0102,0.0177,0.0018,0.0035,0.0053,0.0015,0.0027,0.0029,0.0044,0.0013,0.0022,0.0022,0.0064,0,2e-04,0,0,0,0,3e-04,0.0145,0.0125,0.0248,0.0412,0.0569,0.0315,0.0385,0.0473,0.0447,0.0418,0.0245,0.0205,0.0318,0.0171,0.0089,0.0059,0.0056,0.0073,0.0174,0.0263,0.0043,0.0034,0.0027,0.0024,0.0017,0.008,0,0.0017,0,2e-04,0.0144
2018,7,"TWL.W",3,0,2,-1,-1,20,602,103,0,0,0,7e-04,0.0028,0.0126,0.0096,0.0382,0.049,0.0224,0.0433,0.0426,0.0154,0.0105,0.0132,0.0146,0.0325,0.0141,0.0246,0.0239,0.0028,0.0228,0.0015,0.0055,0.0064,0.0019,9e-04,0.0025,0.0017,0.0027,0.002,2e-04,4e-04,0.0016,0.0014,0,0,0,0,0.0032,0.0123,0.0274,0.0146,0.0407,0.0599,0.0795,0.0566,0.0573,0.0202,0.0247,0.0177,0.039,0.0108,0.016,0.0085,0.0082,0.018,0.0086,0.0053,0.0043,0.0026,0.0039,0.0028,0.0055,0.0069,0.006,4e-04,0.0015,0.0029,0.0103
2019,7,"TWL.W",3,0,2,-1,-1,17,268,54,0,0.0059,0,0.0126,0.0613,0.0699,0.0383,0.0401,0.0202,0.0279,0.0299,0.0308,0.0182,0.0021,0.0129,0.0248,0.0158,0.0095,0.0178,0.0154,0.02,0.0059,0,0.0059,0.0095,0.0097,0,0,0,0.0032,8e-04,0,0.0059,0,0,0,0,0,0,0.0361,0.0378,0.0341,0.0515,0.0354,0.0429,0.0262,0.0361,0.0231,0.0195,0.0113,0.0081,0.0067,0.0068,0.0049,0.008,0.0119,0.0059,0.021,0,0.0059,0,0.0032,0.0032,0.0097,0.0059,0.0035,0,0,0,0.0268
2020,7,"TWL.W",3,0,2,-1,-1,8,88,20,0,0,0,0,0.015,0.0011,0,0.0455,0.0372,0.003,0.0192,0.1679,0.0444,0.0608,0.039,0.1056,0.0444,0,0,0,0.015,0.003,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0.003,0,0,0.0061,0.0091,0.0415,0.0074,0.0781,0.0624,0.0854,0.0329,0.0455,0.015,0,0.003,0.0011,0,0,0,0,0,0,0,0,0,0.0011,0,0,0.0011,0,0,0
