"fleet","Year","Trips","Lengths"
"TWL.C",2006,6,52
"TWL.C",2007,9,67
"TWL.C",2008,10,23
"TWL.C",2009,11,100
"TWL.C",2010,10,57
"TWL.C",2011,4,12
"TWL.C",2012,13,167
"TWL.C",2013,18,310
"TWL.C",2014,27,202
"TWL.C",2015,32,426
"TWL.C",2016,30,361
"TWL.C",2017,34,827
"TWL.C",2018,35,612
"TWL.C",2019,26,635
"TWL.C",2020,33,721
"TWL.C",2021,35,600
"TWL.C",2022,26,362
"TWL.O",1973,1,51
"TWL.O",1974,4,370
"TWL.O",1976,2,89
"TWL.O",1977,8,750
"TWL.O",1978,7,670
"TWL.O",1979,6,600
"TWL.O",1980,21,1034
"TWL.O",1981,7,603
"TWL.O",1982,20,1358
"TWL.O",1983,30,2836
"TWL.O",1984,21,2064
"TWL.O",1985,29,1891
"TWL.O",1986,16,1545
"TWL.O",1987,35,1751
"TWL.O",1988,23,1148
"TWL.O",1989,23,1130
"TWL.O",1990,22,1099
"TWL.O",1991,22,869
"TWL.O",1992,34,1364
"TWL.O",1993,22,1113
"TWL.O",1994,15,750
"TWL.O",1995,16,847
"TWL.O",1996,19,1162
"TWL.O",1997,28,1545
"TWL.O",1998,28,1560
"TWL.O",1999,28,1517
"TWL.O",2000,16,496
"TWL.O",2001,32,879
"TWL.O",2002,58,1173
"TWL.O",2003,35,273
"TWL.O",2004,49,354
"TWL.O",2005,49,350
"TWL.O",2006,58,360
"TWL.O",2007,45,122
"TWL.O",2008,60,202
"TWL.O",2009,82,487
"TWL.O",2010,33,365
"TWL.O",2011,45,418
"TWL.O",2012,59,494
"TWL.O",2013,158,1175
"TWL.O",2014,146,1322
"TWL.O",2015,145,1912
"TWL.O",2016,116,1290
"TWL.O",2017,184,2523
"TWL.O",2018,161,1916
"TWL.O",2019,153,1534
"TWL.O",2020,79,848
"TWL.O",2021,94,1210
"TWL.O",2022,102,1365
"TWL.W",1968,2,402
"TWL.W",1969,2,718
"TWL.W",1970,1,268
"TWL.W",1971,8,1804
"TWL.W",1972,2,501
"TWL.W",1973,1,230
"TWL.W",1975,5,1244
"TWL.W",1976,4,766
"TWL.W",1977,2,481
"TWL.W",1978,4,721
"TWL.W",1979,8,800
"TWL.W",1980,18,1654
"TWL.W",1981,18,1765
"TWL.W",1982,13,1300
"TWL.W",1983,17,1650
"TWL.W",1984,17,1550
"TWL.W",1985,18,1750
"TWL.W",1986,17,1650
"TWL.W",1987,25,1300
"TWL.W",1988,19,950
"TWL.W",1989,18,900
"TWL.W",1990,17,850
"TWL.W",1991,22,1100
"TWL.W",1992,20,1000
"TWL.W",1993,17,854
"TWL.W",1994,15,750
"TWL.W",1995,22,1100
"TWL.W",1996,16,751
"TWL.W",1997,26,870
"TWL.W",1998,26,846
"TWL.W",1999,20,753
"TWL.W",2000,7,229
"TWL.W",2001,13,428
"TWL.W",2002,30,638
"TWL.W",2003,21,271
"TWL.W",2004,30,334
"TWL.W",2005,31,413
"TWL.W",2006,26,455
"TWL.W",2007,44,353
"TWL.W",2008,18,305
"TWL.W",2009,23,401
"TWL.W",2010,13,312
"TWL.W",2011,20,372
"TWL.W",2012,27,455
"TWL.W",2013,23,386
"TWL.W",2014,11,127
"TWL.W",2015,23,291
"TWL.W",2016,29,409
"TWL.W",2017,59,901
"TWL.W",2018,28,788
"TWL.W",2019,36,625
"TWL.W",2020,17,251
"TWL.W",2021,26,555
"TWL.W",2022,30,664
