"Year","NTWL.C","NTWL.O","NTWL.W","TWL.C","TWL.O","TWL.W","rec.C","rec.O","rec.W.N","rec.W.mt.2","FOR.C","FOR.O","FOR.W"
2000,13.46,12.53,3.79,14.81,40.58,13,77.06,20.82,6196.57,6.23,0,0,0
2001,10.87,11.62,5.58,10.57,20.46,9.46,33.37,11.13,5385.64,5.41,0,0,0
2002,0.11,0.5,4.31,16.14,29.42,23.66,6.21,9.11,2453.02,2.35,0,0,0
2003,2.17,0.49,7.16,1.24,16.77,10.78,18.11,9.03,2034.04,2.15,0,0,0
2004,2.38,5.86,2.23,2.39,7.61,7.78,10.59,2.16,1045.23,0.95,0,0,0
2005,1.56,1.84,2.18,3.12,15.39,23.84,5.83,3.17,1706.82,1.41,0,0,0
2006,2.56,2.74,1.09,9.39,16.41,9.14,14.08,1.73,986.04,0.75,0,0,0
2007,3.35,1.93,0.77,20.19,3.4,4.03,14.05,1.93,984.92,0.65,0,0,0
2008,1.22,0.89,5.38,9.94,4.57,3.24,7.56,2.54,786.96,0.57,0,0,0
2009,1.62,3.15,3.41,1.65,7.52,5.41,17.97,3.47,774.81,0.56,0,0,0
2010,5.22,1.03,4.79,0.49,3.95,6.74,15.76,4.54,1268.03,1.04,0,0,0
2011,12.97,4.29,9.72,0.35,3.12,3.59,19.78,3.08,1225.55,1.1,0,0,0
2012,4.25,1.89,6.12,0.56,6.69,5.05,18.16,2.97,971.13,0.97,0,0,0
2013,6.37,2.76,3.29,1.53,6.08,4.58,14.8,3.99,988.23,0.97,0,0,0
2014,4.4,1.82,5.98,1.99,10.33,2.16,22.37,3.02,1366.36,1.39,0,0,0
2015,5.22,3.2,9.63,7.05,41.07,3.95,26.87,14.32,2032.44,2.17,0,0,0
2016,3.09,6.66,5.14,2.83,17,5.03,23.71,9.75,2736.21,2.48,0,0,0
2017,7.19,5.65,3.28,75.32,148.06,37.29,83.43,28.24,5226.33,4.97,0,0,0
2018,7.49,4.38,2.17,139.66,173.89,156.27,61.84,43.59,5021.71,4.19,0,0,0
2019,10.64,6.23,1.73,176.22,194.5,65.41,71.37,38.71,10733.57,12.4,0,0,0
2020,18.63,7.47,2.95,73.67,186.61,78.89,110.38,60.57,6221.76,7.34,0,0,0
2021,25.62,6.55,1.37,78.46,223.46,73.59,119.75,38.56,19419.54,32.31,0,0,0
2022,22.53,10.99,0.89,90.08,315.27,101.18,62.6,55.65,20117.22,34.82,0,0,0
