

 Females then males 
"year","month","fleet","sex","partition","Ntows","Nsamps","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
1996,7,"NTWL.O",3,0,1,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0,0.0811,0.1081,0.1351,0.0541,0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0.027,0.0541,0.1081,0.027,0.027,0.0811,0.0541,0.027,0,0,0.027,0,0,0,0
1997,7,"NTWL.O",3,0,11,538,78,0,0,0,0,0,0,0,0,0.0018,0,0.0055,0.0044,0.008,0.0351,0.0366,0.0686,0.048,0.0248,0.0614,0.0291,0.0249,0.0258,0.0147,0.0129,0.0036,0,0,0,0,0,0,0,0,0,0.0018,0.0018,0.0015,0.0029,0.0077,0.015,0.0419,0.061,0.0796,0.0545,0.0412,0.0518,0.0546,0.056,0.0407,0.0506,0.0141,0.009,0,0.009,0,0
1998,7,"NTWL.O",3,0,8,335,54,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0212,0.0325,0.0436,0.0589,0.0525,0.0164,0.0418,0.0044,0.0055,0.0036,0.0152,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.0021,0.0043,0.0181,0.016,0.0271,0.0309,0.0824,0.0676,0.0917,0.0763,0.0713,0.0993,0.0576,0.0289,0.0156,0,0,0,0,0
1999,7,"NTWL.O",3,0,5,168,28,0,0,0,0,0,0,0,0.0032,0,0.004,0.0253,0.0219,0.0254,0.0256,0.0812,0.0555,0.0482,0.0468,0.0173,0.0175,0.0133,0.0236,0,0.0168,0,0.0168,0.0336,0,0,0,0,0,0,0,0,0.0032,0,0,0.0132,0.0234,0.0138,0.0555,0.0488,0.0878,0.0575,0.0685,0.0437,0.0139,0.0201,0.0073,0,0.0168,0.0168,0,0.0168,0.0168
2000,7,"NTWL.O",3,0,24,176,48,0,0,0,0,0,0,0,0.0112,0.0168,0.0839,0.0648,0.0392,0.0783,0.0906,0.0682,0.0518,0.0119,0.0168,0.0112,0.006,0.0112,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.028,0.0336,0.0839,0.0679,0.0686,0.0402,0.041,0.029,0.0116,0.0063,0.0112,0,0,0.006,0,0,0,0,0
2001,7,"NTWL.O",3,0,29,191,55,0,0,0,0,0,0,0,0.0048,0.0288,0.0348,0.0604,0.0688,0.1115,0.0499,0.0799,0.0528,0.0313,0.0419,0.0119,0.0101,0.0171,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0.0205,0.0445,0.0511,0.0442,0.0288,0.0477,0.0359,0.0287,0.0521,0.0107,0,0,0,0.0103,0.0055,0,0,0,0
2017,7,"NTWL.O",3,0,125,514,196,0,0,0,0,0,0,0,0,0.0113,0.0494,0.0865,0.0772,0.0996,0.0626,0.0309,0.0047,0.0175,0.0232,0.0316,0.0136,0.0069,0.0163,0.0067,0.0089,0,0.0016,0,0,0,0,0,0,0,0,0,0.0032,0.0157,0.0306,0.0559,0.1302,0.0814,0.036,0.0223,0.0168,0.0136,0.0086,0.0275,0.0016,0.0047,0.0031,0,0,0,0,0,0
2018,7,"NTWL.O",3,0,117,419,175,0,0,0,0,0,0,0,0.0026,0.0048,0.0259,0.0519,0.0926,0.1217,0.0963,0.0859,0.0278,0.0106,0.0129,0.0043,0.0088,0.0043,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0025,0.0441,0.0391,0.0926,0.1218,0.0927,0.0263,0.011,0.0043,0,0.0108,0,0,0,0,0,0,0,0,0
2019,7,"NTWL.O",3,0,173,815,285,0,0,0,0,0,0,0,9e-04,0.0069,0.0175,0.0502,0.1007,0.1021,0.0742,0.0535,0.0343,0.0087,0.0141,0.0074,0.0089,0.0208,0.015,0.0062,0,0.001,0,0,0,0,0,0,0,0,0,0.0024,0.0047,0.0341,0.0154,0.0537,0.0894,0.1025,0.081,0.0366,0.0126,0.0082,0.0143,0.0092,0.0087,0.0018,9e-04,0.001,9e-04,0,0,0,0
2020,7,"NTWL.O",3,0,69,289,109,0,0,0,0,0,0,0,0,0.0061,0.0133,0.0343,0.0438,0.0575,0.0578,0.0534,0.0299,0.0092,0.0756,0.0746,0.0918,0.059,0.0153,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0117,0.0291,0.0296,0.0524,0.0375,0.0372,0.0148,0.0036,0.0604,0.0182,0.0516,0.005,0,0,0,0,0,0,0
2021,7,"NTWL.O",3,0,112,299,153,0,0,0,0,0,0,0,0,0,0.0182,0.0377,0.0409,0.0551,0.0314,0.0192,0.0205,0.013,0.1424,0.1825,0.0223,0.059,0.0067,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.0288,0.029,0.0274,0.05,0.0316,0.0167,0.0337,0.0205,0.0916,0.0019,0.0019,0.0018,0,0.0018,0,0,0.0018,0
2022,7,"NTWL.O",3,0,124,430,183,0,0,0,0,0,0,0,0.0028,0.0018,0.0105,0.0412,0.0521,0.055,0.0301,0.0253,0.0393,0.0532,0.0238,0.0685,0.1168,0.0548,0.0106,0.0192,0.0028,8e-04,0,0,0,0,0,0,0,0,0,0,0.0018,0.0018,0.0054,0.0186,0.052,0.0144,0.013,0.0248,0.0505,0.0825,0.0967,0.0199,0.0055,9e-04,8e-04,0.0027,0,0,0,0,0
1980,7,"NTWL.W",3,0,1,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.1364,0.1364,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0,0,0,0.2273,0.1818,0,0.1818,0,0,0,0,0,0
2002,7,"NTWL.W",3,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0.25,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
2004,7,"NTWL.W",3,0,3,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456,0.0912,0.0456,0,0.091,0.1363,0,0.0454,0.0454,0.0907,0.0454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454,0,0.0456,0.0456,0.0454,0.0456,0.0907,0,0,0.0454,0,0,0,0,0,0
2006,7,"NTWL.W",3,0,1,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857,0.2571,0.1429,0.0286,0.0857,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,0.0571,0.1429,0.1143,0,0,0,0,0,0,0
2007,7,"NTWL.W",3,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.1667,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0
2010,7,"NTWL.W",3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0.3333,0,0,0,0,0,0
2013,7,"NTWL.W",3,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
2017,7,"NTWL.W",3,0,9,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372,0,0.1609,0.1295,0.1125,0.093,0.0376,0.0391,0,0.0366,0.0376,0,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372,0.0933,0.0564,0.0746,0,0.0188,0,0.0178,0,0,0,0,0,0
2018,7,"NTWL.W",3,0,15,86,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0059,0.0102,0.0395,0.0697,0.1412,0.0153,0.0717,0.069,0.1173,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277,0.0393,0.1166,0.0586,0.1114,0.0866,0,0.005,0,0,0,0,0,0
2019,7,"NTWL.W",3,0,24,144,44,0,0,0,0,0,0,0,0,0,0,0.0066,0,0.0066,0,0.0143,0.0358,0.0854,0.1046,0.0914,0.077,0.1175,0.0698,0.077,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0.0415,0.0071,0.0343,0.0546,0.1219,0.0269,0,0,0.0071,0,0,0,0,0
2020,7,"NTWL.W",3,0,14,119,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.004,0.0727,0.0744,0.0719,0.0627,0.1899,0.0922,0.0919,0.0445,0.0022,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0.002,0.0648,0.0326,0.0543,0.092,0,0.0185,0,0,0,0,0,0,0
2021,7,"NTWL.W",3,0,30,199,57,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0.0269,0.0531,0.0332,0.0784,0.073,0.076,0.0482,0.0756,0.0838,0.0297,0.0113,0,0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0.0074,0,0.0074,0.0117,0.0037,0.0166,0.0836,0.0711,0.1495,0.0372,0.0113,0.0037,0,0,0,0,0
2022,7,"NTWL.W",3,0,35,221,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0.0426,0.0202,0.0585,0.0595,0.1199,0.0772,0.1067,0.0955,0.0601,0.041,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0,0.0038,0.0227,0.0223,0.0302,0.0341,0.0347,0.0455,0.0607,0.0074,0,0,0,0,0,0,0
1977,7,"TWL.C",3,0,25,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336,0.0062,0.0208,0.0208,0.0681,0.0803,0.0076,0.0536,0,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208,0.0208,0.1038,0.1191,0.2644,0.0558,0.0836,0,0.0156,0.0156,0,0,0,0,0
1978,7,"TWL.C",3,0,71,384,124,0,0,0,0,0,0,0,0,0,0,0,0.0058,0.0054,0.0135,0.0088,0.0054,0.0128,0.0349,0.0393,0.0701,0.082,0.0307,0.0746,0.0199,0.0204,0.0022,5e-04,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0.0194,0.0059,0.0137,0.0216,0.0781,0.1226,0.1606,0.0794,0.0328,0.0203,0.0156,0,0,0,0
1979,7,"TWL.C",3,0,32,170,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0128,0.0031,0.0063,0.018,0.016,0.0128,0.0208,0.0315,0.0494,0.0282,0.0731,0.0187,0.0137,8e-04,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.0351,0.0283,0.0874,0.0319,0.1006,0.1002,0.1081,0.1146,0.0501,0.0081,0.0128,0,0,0,0.0128
1980,7,"TWL.C",3,0,97,293,137,0,0,0,0,0,0,0,0,0,0,0.0072,0.0241,0.0256,0.0502,0.0306,0.0218,0.0207,0.0503,0.0577,0.0463,0.0268,0.0287,0.016,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.0411,0.0116,0.0318,0.0692,0.0404,0.091,0.1027,0.0816,0.0933,0.009,0,0.0151,0,0,0,0,0
1981,7,"TWL.C",3,0,60,192,86,0,0,0,0,0,0,0,0,0,0.0087,0,0.0112,0.0087,8e-04,0.0676,0.036,0.0553,0.064,0.0433,0.0693,0.0688,0.0513,0.0167,0.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0174,0.0306,0.0713,0.0635,0.0591,0.1319,0.0657,0.0142,0.0158,0,0,0,0,0,0,0
1982,7,"TWL.C",3,0,90,437,150,0,0,0,0,0,0,0,0,0,0,0.0044,0.0019,0.0341,0.012,0.0211,0.0523,0.0607,0.052,0.0564,0.0565,0.0351,0.0358,0.0072,0.001,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.0085,0.017,0.0231,0.0466,0.0372,0.0679,0.0845,0.0871,0.0877,0.078,0.0165,0.0046,0,0.0046,0,0,0,0
1983,7,"TWL.C",3,0,125,421,183,0,0,0,0,0,0,0,0,0,0.0039,0.0184,0.0023,0.0186,0.0294,0.0505,0.0385,0.0439,0.0339,0.0334,0.0361,0.0515,0.028,0.0195,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0148,0.0168,0.059,0.0376,0.04,0.0635,0.0762,0.0749,0.1142,0.0577,0.0139,0.0079,0.0035,0.0039,0,0,0,0
1984,7,"TWL.C",3,0,82,373,133,0,0,0,0,0,0,0,5e-04,0.0052,0.0052,0.014,0.0311,0.0442,0.019,0.0376,0.0355,0.0419,0.0682,0.037,0.0476,0.0304,0.0302,0.0266,0.0135,0,0,0,0,0,0,0,0,0,0,3e-04,3e-04,0.0015,0.0066,0.0126,0.0087,0.0287,0.0333,0.0497,0.0333,0.0802,0.0937,0.0716,0.0359,0.0404,0.0111,0.0046,0,0,0,0,0
1985,7,"TWL.C",3,0,93,446,155,0,0,0,0,0,0,0,0,0,0.0104,0.0124,0.0104,0.0482,0.0463,0.0516,0.0587,0.0447,0.0136,0.0356,0.0379,0.0166,0.0408,0.0269,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0.0178,0.0175,0.0406,0.0523,0.0522,0.0878,0.0741,0.0548,0.0376,0.0667,0.0146,0.0098,0,0,0,0,0,0
1986,7,"TWL.C",3,0,56,393,110,0,0,0,0,0,0,0,0,0,0.0086,0,0.0105,0.0238,0.0566,0.07,0.0562,0.0535,0.0532,0.0387,0.0385,0.0281,0.0087,0.0131,2e-04,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0.0037,1e-04,9e-04,0.0179,0.0455,0.1052,0.1114,0.0979,0.0695,0.0632,0.0182,0.0014,0.0019,0,0,0,0,0,0
1987,7,"TWL.C",3,0,60,305,102,0,0,0,0,0,0,0,0,0,0,0.018,0.0237,0.0675,0.0263,0.0308,0.0795,0.0396,0.0556,0.049,0.0318,0.014,0.0061,0.0056,0.0056,0.0045,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.0135,0.0785,0.0373,0.065,0.0664,0.0706,0.1047,0.0384,0.0495,0.0122,0.002,0,0,0,0,0,0,0
1988,7,"TWL.C",3,0,52,272,90,0,0,0,0,0,0,0,0.0048,0.0036,0.0137,0.0269,0.0448,0.0291,0.0523,0.0562,0.0451,0.0178,0.0286,0.048,0.015,0.0358,0.0096,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0.0173,0.0247,0.0631,0.0842,0.0785,0.0844,0.0761,0.0428,0.0615,0.0209,0.0048,0,0,0,0,0,0,0
1989,7,"TWL.C",3,0,45,247,79,0,0,0,0,0,0,0,0,0,0.0138,0.0256,0.0118,0.0439,0.0384,0.0765,0.0335,0.031,0.0222,0.0195,0.016,0.0261,0.0201,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0.046,0.0407,0.0585,0.0777,0.0822,0.0702,0.0861,0.0765,0.0415,0.0099,0.0033,8e-04,0,0,0,0,0,0
1990,7,"TWL.C",3,0,44,318,88,0,0,0,0,0,0,0,0,0,0.0022,0.0043,0.0197,0.03,0.0288,0.0671,0.0497,0.0404,0.0294,0.0454,0.0483,0.0401,0,0.0064,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.0377,0.0566,0.0781,0.0617,0.0611,0.1063,0.0828,0.0426,0.024,0.0033,0,0,0,0,0,0,0
1991,7,"TWL.C",3,0,30,171,54,0,0,0,0,0,0,0,0,0,0,0.0147,0.0335,0.0858,0.0779,0.0703,0.0382,0.0414,0.0211,0.0358,0.0157,0.0258,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.014,0.0254,0.0347,0.0651,0.0784,0.0589,0.0835,0.0729,0.0509,0.0197,0.0085,0.0024,0.0024,0,0,0,0,0,0
1992,7,"TWL.C",3,0,20,186,46,0,0,0,0,0,0,0,0,0,0.0016,0,0.0422,0.0355,0.0588,0.0658,0.0321,0.0698,0.0201,0.0429,0.0168,0.0117,0.0103,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.0617,0.0653,0.0815,0.0941,0.074,0.0829,0.0209,0.0303,0.0256,0.008,0,0,0,0,0,0,0
1993,7,"TWL.C",3,0,13,42,19,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.0499,0,0.0268,0.0893,0.0373,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.0749,0.025,0.0499,0.0731,0.1747,0.0998,0.1497,0.025,0,0,0,0,0,0,0,0,0,0
