"year","C_ca_mrfss_U_N","C_debWV_U_N","O_or_mrfss_U_N","O_or_ora_F_N","O_or_ora_M_N","O_or_ora_U_N","O_or_recfin_U_N","C_recfin_U_N","O_recfin_F_N","O_recfin_M_N","O_recfin_U_N","W_recfin_F_N","W_recfin_M_N","W_recfin_U_N","W_wa_sport_F_N","W_wa_sport_M_N","W_wa_sport_U_N","C_ca_mrfss_U_ntrip","C_debWV_U_ntrip","O_or_mrfss_U_ntrip","O_or_ora_F_ntrip","O_or_ora_M_ntrip","O_or_ora_U_ntrip","O_or_recfin_U_ntrip","C_recfin_U_ntrip","O_recfin_F_ntrip","O_recfin_M_ntrip","O_recfin_U_ntrip","W_recfin_F_ntrip","W_recfin_M_ntrip","W_recfin_U_ntrip","W_wa_sport_F_ntrip","W_wa_sport_M_ntrip","W_wa_sport_U_ntrip"
2006,0,0,0,0,0,0,20,599,0,0,20,4,0,11,4,0,11,0,0,0,0,0,0,11,182,0,0,11,2,0,4,2,0,4
2007,0,0,0,0,0,0,9,348,0,0,9,4,3,3,4,3,3,0,0,0,0,0,0,8,128,0,0,8,2,2,2,2,2,2
2008,0,0,0,0,0,0,29,141,0,0,29,7,3,3,7,3,3,0,0,0,0,0,0,19,70,0,0,14,4,2,3,4,2,3
2009,0,0,0,0,0,0,16,172,0,0,16,5,3,5,5,3,5,0,0,0,0,0,0,9,75,0,0,9,2,2,4,2,2,4
2010,0,0,0,0,0,0,28,92,0,0,28,8,3,1,8,3,1,0,0,0,0,0,0,17,54,0,0,17,2,1,1,2,1,1
2011,0,0,0,0,0,0,47,205,0,0,47,0,1,10,0,1,10,0,0,0,0,0,0,20,82,0,0,17,0,1,5,0,1,5
2012,0,0,0,0,0,0,32,127,0,0,32,2,5,2,2,5,2,0,0,0,0,0,0,15,56,0,0,14,2,2,2,2,2,2
2013,0,0,0,0,0,0,20,134,0,0,20,0,0,6,0,0,6,0,0,0,0,0,0,12,60,0,0,12,0,0,3,0,0,3
2014,0,0,0,0,0,0,19,136,0,0,19,5,3,0,5,3,0,0,0,0,0,0,0,12,63,0,0,10,2,1,0,3,1,0
2015,0,0,0,319,296,3,2204,163,319,296,2207,3,2,32,3,2,32,0,0,0,114,114,3,914,87,104,99,352,2,2,4,2,2,4
2016,0,0,0,310,190,6,1817,133,310,190,1823,1,2,28,1,2,28,0,0,0,100,87,5,821,56,90,76,329,1,2,11,1,2,11
2017,0,0,0,372,327,4,3333,3252,372,327,3337,703,490,110,703,490,108,0,0,0,100,110,4,1010,667,86,97,325,22,22,39,73,76,41
2018,0,0,0,308,251,0,4018,2876,308,251,4018,227,203,273,227,203,270,0,0,0,113,103,0,1230,608,102,97,460,17,19,86,44,41,98
2019,0,0,0,309,275,8,3898,3018,309,275,3906,505,412,538,505,412,538,0,0,0,110,98,8,1272,637,103,90,463,30,28,106,85,82,146
2020,0,0,0,322,253,12,345,0,322,253,357,302,148,12,302,148,12,0,0,0,86,84,8,125,0,83,82,69,10,8,6,38,30,6
2021,0,0,0,359,250,7,3639,2160,359,250,2876,663,336,220,663,336,220,0,0,0,111,100,4,909,358,101,88,396,26,23,37,54,53,42
2022,0,0,0,353,305,5,3206,1841,353,305,2715,614,498,50,614,498,50,0,0,0,123,114,5,907,469,114,107,459,29,27,17,70,57,19
