"Year","Total Biomass (mt)","Spawning Output (millions of eggs)","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1924,74597.9,7829.12,73252.5,0.977585429717692,3459.37,44.18,0.0148022,0.000603119347462544
1925,74446.5,7814.81,73105.8,0.975798607252427,3445.23,50.73,0.017022,0.00069392578974582
1926,74283.9,7799.79,72948.1,0.973923130423056,3430.6,66.55,0.022175,0.000912292438048421
1927,74100.1,7782.91,72769.6,0.971815404132792,3415.56,60.24,0.0201219,0.000827818209801895
1928,73918.2,7765.84,72593,0.969683953435232,3400.25,62.82,0.0214864,0.00086537269433692
1929,73729,7747.82,72409.4,0.967433880701194,3384.79,73.85,0.0256109,0.00101989520697589
1930,73523.7,7727.59,72209.9,0.964907855650717,3369.19,78.69,0.027394,0.00108973977252427
1931,73308.6,7706.8,72000.7,0.962311906031369,3353.49,88.29,0.0306566,0.00122623807824091
1932,73078.5,7684.55,71776.5,0.959533653071749,3337.65,65.43,0.0232356,0.000911579695304173
1933,72866.6,7664.37,71570.6,0.95701387128635,3321.47,61.84,0.0223628,0.000864041939008476
1934,72653.4,7643.46,71363.5,0.954402937830815,3304.38,62.11,0.0229022,0.000870332873247528
1935,72434.7,7622.34,71150.9,0.951765782661953,3285.74,73.8,0.0270357,0.00103723213620629
1936,72198.3,7599.84,70920.9,0.948956313376945,3264.66,67.37,0.025684,0.00094993154345193
1937,71962.8,7577.27,70692,0.946138103520827,3240.74,75.48,0.0289039,0.0010677304362587
1938,71712.8,7553.02,70449.1,0.943110119958095,3214.16,74.49,0.0286917,0.00105735914298408
1939,71457.4,7528.28,70201.6,0.940020952397601,3186.07,81.02,0.0300173,0.00115410474974929
1940,71188.5,7502.17,69941.4,0.936760719373975,3157.26,175.63,0.0588937,0.00251110215122946
1941,70817.4,7463.96,69580.2,0.931989616201523,3130.42,218.94,0.071328,0.00314658480429777
1942,70397.8,7419.77,69171,0.926471818525765,3106.37,382.75,0.11355,0.00553338826965058
1943,69811.6,7354.19,68595.3,0.918283152049726,3084.62,1254.46,0.310138,0.0182878418783794
1944,68355.4,7182.44,67149.5,0.896837536507492,3062.09,1887.07,0.42151,0.028102517516884
1945,66296.3,6938.86,65100.1,0.866422846354495,3044.55,3813.72,0.647115,0.0585823984909394
1946,62360.8,6470.4,61173.6,0.807928447187596,3021.95,2377.54,0.526075,0.0388654583022742
1947,59987.5,6180.37,58808.8,0.771713763777325,3011.27,1345.83,0.368072,0.0228848403640272
1948,58735.1,6015.99,57563.8,0.751188405507559,3012.97,1272.57,0.363447,0.0221071228793096
1949,57607.4,5870.43,56443.1,0.733013012213075,3023.09,1235.85,0.360629,0.0218955018416777
1950,56563.2,5736.83,55404.6,0.716331007925201,3043.2,1237.31,0.36642,0.0223322612201875
1951,55561.9,5611.1,54404.6,0.700631693560572,3072.47,1223.76,0.372898,0.0224936861956526
1952,54614.8,5495.84,53454.7,0.686239718903233,3112.65,1158.86,0.360047,0.0216792910632741
1953,53776.9,5392.39,52610,0.67332240345727,3165.49,956.31,0.315134,0.0181773427105113
1954,53188.1,5316.92,52010.5,0.663898819148843,3237.33,1172.83,0.368746,0.0225498697378414
1955,52426.5,5221.22,51234.6,0.651949209789939,3333.99,1167.91,0.372711,0.0227953375258126
1956,51723.8,5130.11,50512.3,0.640572732165177,3475.14,1541.02,0.453164,0.030507816907961
1957,50708.6,4999.72,49470.5,0.624291545495297,3684.83,1567.41,0.464121,0.0316837307081998
1958,49749.5,4870.01,48473.9,0.608095267230475,4011.11,1300.01,0.424397,0.0268187622617532
1959,49151.4,4780.04,47823.5,0.596861136049487,4521.91,1347.41,0.433651,0.0281746421738267
1960,48607.5,4687.53,47208,0.585309847002546,4410.93,1456.77,0.456075,0.0308585409252669
1961,48098.2,4586.85,46592.5,0.572738408441893,4773.41,1363.86,0.438107,0.0292720931480388
1962,47843.9,4502.35,46216.7,0.562187290460416,4477.21,1643.56,0.496728,0.0355620370991438
1963,47483.2,4395.43,45757.4,0.548836692418054,3831.55,1114.54,0.389892,0.0243575902476976
1964,47826.5,4360.06,46106.2,0.54442020670202,3405.22,1347.75,0.440272,0.0292314265760353
1965,48064.2,4309.98,46336.3,0.538166952400098,3332.89,1484.61,0.470545,0.0320398909710098
1966,48238.3,4262.08,46661.4,0.532185904455569,3689.44,3344.32,0.714044,0.0716720887071541
1967,46583.6,4024.63,45178,0.502536638601109,4619.93,1509.3,0.487124,0.0334078533799637
1968,46795,4011.48,45445.9,0.500894659885648,6025.32,2423.54,0.631837,0.0533280229899727
1969,46069.1,3926.35,44663.4,0.490264876764191,3752.8,1229.95,0.427445,0.0275382080181983
1970,46615.5,3985.95,45002.7,0.497706848736925,2645.77,1555.2,0.491557,0.0345579265244085
1971,46902.2,4029.1,45051.5,0.503094786499064,2644.6,2015.93,0.566728,0.0447472337214077
1972,46736.7,4029.31,44891.5,0.503121008212391,3888.18,1923.69,0.556551,0.04285198757003
1973,46594.5,4039.26,45319.7,0.504363417962873,4875.04,2781.47,0.674328,0.0613744133345984
1974,45488.5,3946.97,44391.5,0.492839599282274,3426.6,2316.58,0.62827,0.0521852156381289
1975,44823.1,3892.3,43554.4,0.486013213246211,3586.57,2044.69,0.59445,0.0469456587623753
1976,44419.8,3861.05,42837,0.482111172572587,4614.06,1762.76,0.555136,0.041150407358125
1977,44250.4,3867.03,42632.9,0.482857867075892,2857.79,1855.26,0.570661,0.043517095951718
1978,44005.3,3868.15,42624,0.482997716213635,4077.52,4346.23,0.812834,0.101966732357357
1979,41251.4,3598.89,39790,0.44937648511668,3780.88,2920.97,0.732818,0.0734096506659965
1980,39931.1,3463.34,38429.1,0.432450993490772,1899.73,4574.38,0.847,0.119034273506275
1981,37016.1,3129.26,35744.7,0.390735993546961,3801.32,3580.22,0.817391,0.100160863009061
1982,35079.7,2902.16,33666,0.362379083563606,3052.73,5702.23,0.916767,0.169376522307372
1983,31003.8,2460.92,29799.9,0.30728351790506,2345.87,5296.95,0.91926,0.177750596478512
1984,27379.9,2056.54,26368.9,0.256790487261866,3162.47,2810.74,0.835397,0.10659299401947
1985,26240.3,1919.91,24951.3,0.239730141110277,2940.76,3052.85,0.861979,0.122352342362923
1986,24842.5,1778.05,23760.3,0.222016749431551,2469.63,2697.99,0.849792,0.11355033396043
1987,23786.2,1679.97,22768.5,0.209769960654943,2811.61,3434.39,0.900376,0.150839537079737
1988,21968.8,1515.45,20830.3,0.189227121242959,2687.68,3473.78,0.912201,0.166765721088991
1989,20104.2,1342.44,19042.9,0.167624175420765,3246.18,3674.14,0.931796,0.192940150922391
1990,18033.2,1148.63,17032,0.143424031326207,2773.01,3264.91,0.936038,0.191692696101456
1991,16370,995.556,15302.5,0.124310400155832,2170.39,3915.34,0.961233,0.255862767521647
1992,14096.1,776.969,13014.5,0.0970164684846222,2439.11,3301.56,0.962164,0.253683199508241
1993,12431.1,613.96,11324.5,0.0766623005432889,1450.25,2899.3,0.965945,0.25602013333922
1994,11155.8,492.616,10208.1,0.0615106453912841,1784.19,1429.43,0.898326,0.140028996581146
1995,11284.7,486.747,10464.8,0.0607778109364523,2039.39,1331.69,0.88003,0.127254223683205
1996,11448.2,501.89,10670.6,0.062668646197914,2047.53,1591.04,0.904704,0.149105017524788
1997,11292.7,501.01,10669.3,0.0625587647325448,1396.86,1486.5,0.894028,0.139324979145773
1998,11175.7,515.013,10462.2,0.0643072535502327,1422.37,1497.75,0.893642,0.14315822675919
1999,10983,524.946,10244.4,0.0655475405905879,1210.99,900.9,0.781602,0.0879407285931826
2000,11315.9,578.207,10648.9,0.0721979914167592,1462.74,204.75,0.29379,0.0192273380349144
2001,12274.5,690.078,11737.9,0.0861667975671245,2114.36,122.42,0.182341,0.0104294635326592
2002,13257.2,813.275,12722.2,0.101549828122912,1942.67,97.05,0.151604,0.00762839760418795
2003,14246.1,940.177,13686.1,0.117395484620965,3066.9,68.83,0.105954,0.00502919020027619
2004,15237.3,1071.19,14557.9,0.133754462373714,2145.91,47.17,0.0697482,0.00324016513370747
2005,16273.7,1203.67,15448.4,0.150296617523846,1201.48,59.78,0.0853893,0.00386965640454675
2006,17349.2,1332.78,16475.4,0.166417976607734,1748.15,58.98,0.0787428,0.00357988273425835
2007,18444.7,1458.49,17466.4,0.182114793666332,3152.72,52.29,0.06185,0.00299374799615261
2008,19502.7,1577.73,18804.3,0.197003732223863,1140.65,39.69,0.0458056,0.00211068744914727
2009,20592,1689.19,19976.5,0.210921218735289,1787.84,47.31,0.0541608,0.00236828273221035
2010,21657.6,1795.73,20845.9,0.22422436796306,2450.24,44.73,0.0508262,0.00214574568620208
2011,22676.5,1902.95,21773.1,0.237612425595888,2086.84,59.08,0.0634144,0.0027134399786893
2012,23649.1,2015.33,23058.2,0.251644788184746,2315.07,47.07,0.0489136,0.00204135622034677
2013,24609.4,2136.39,23817.9,0.266760981591109,2880.7,45,0.0462791,0.00188933533183026
2014,25536.2,2262.34,24648,0.28248776632208,1538.69,54.09,0.0558136,0.00219449853943525
2015,26459.6,2386.05,25608.9,0.297934852777566,1506.96,113.69,0.106143,0.00443947221473784
2016,27306.6,2497.02,26400,0.31179115529123,1943.69,75.61,0.0733495,0.00286401515151515
2017,28128.5,2603.03,27265.2,0.325028125909176,973.776,399.66,0.285591,0.0146582456758065
2018,28543.5,2674.36,27950.5,0.333934767869161,926.821,598.69,0.38551,0.0214196526001324
2019,28649.8,2715.07,28047.8,0.339018034295504,1812.21,581.78,0.383259,0.0207424468229237
2020,28635.9,2749.66,28043.4,0.343337125076324,2234.81,513.68,0.36357,0.0183173224359386
2021,28580,2784.46,28139,0.347682437570471,3199.87,558.68,0.389986,0.0198542947510572
2022,28397.8,2808.02,27841.7,0.350624264075129,2825.14,700.36,0.469201,0.0251550731456772
2023,28077.2,2808.87,27248.5,0.350730399581451,3149.97,863.15999,0.572409,0.0316773396700736
2024,27645.4,2782.56,26634.2,0.347445193497515,3142.99,860.18996,0.587589,0.0322964444210827
2025,27320,2739.4,26139.2,0.34205600708236,3131.32,571.27641,0.445914,0.0218551604486748
2026,27430.3,2709.94,26289.2,0.338377475298522,3123.19,572.51297,0.442757,0.02177749684281
2027,27684.2,2670.26,26477.8,0.333422820132782,3112.03,583.51888,0.439392,0.0220380424355498
2028,28060.1,2625.73,26857.1,0.327862568254495,3099.2,601.48131,0.435704,0.0223956164291752
2029,28532,2584.62,27333,0.32272935570753,3087.05,623.08834,0.43177,0.022796192880401
2030,29073.4,2556.58,27878.1,0.319228132651902,3078.61,647.91868,0.428836,0.0232411347975651
2031,29659,2548.98,28468,0.318279156360077,3076.3,674.16466,0.427018,0.0236814900941408
2032,30266.7,2564.13,29080.1,0.320170865678649,3080.9,699.96347,0.426109,0.0240701878604269
2033,30879.2,2599.27,29696,0.324558632375325,3091.42,725.64483,0.426604,0.024435776872306
2034,31482.6,2649.08,30301,0.330778173045827,3105.96,749.34271,0.427782,0.0247299663377446
