"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1","M23.1","M24.1","M25.1","M26.1","M27.1","M28.1","M29.1","M30.1","M31.1","M32.1","M33.1","M34.1","M35.1"
1983,"7","Enter Fleet",2,0,"1",48,48,61,0,0,0,0,0,0,0,1.63934426229508,0,4.91803278688525,4.91803278688525,6.55737704918033,9.83606557377049,24.5901639344262,18.0327868852459,3.27868852459016,3.27868852459016,4.91803278688525,3.27868852459016,0,3.27868852459016,0,4.91803278688525,0,0,0,0,0,0,0,0,0,3.27868852459016,0,3.27868852459016,0,0,0,0,0,0,0,1.63934426229508,0,4.91803278688525,4.91803278688525,6.55737704918033,9.83606557377049,24.5901639344262,18.0327868852459,3.27868852459016,3.27868852459016,4.91803278688525,3.27868852459016,0,3.27868852459016,0,4.91803278688525,0,0,0,0,0,0,0,0,0,3.27868852459016,0,3.27868852459016
1983,"7","Enter Fleet",2,0,"1",50,50,62,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,1.61290322580645,8.06451612903226,9.67741935483871,4.83870967741935,6.45161290322581,6.45161290322581,3.2258064516129,4.83870967741935,8.06451612903226,3.2258064516129,3.2258064516129,1.61290322580645,0,3.2258064516129,1.61290322580645,3.2258064516129,4.83870967741935,4.83870967741935,1.61290322580645,3.2258064516129,1.61290322580645,3.2258064516129,9.67741935483871,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,1.61290322580645,8.06451612903226,9.67741935483871,4.83870967741935,6.45161290322581,6.45161290322581,3.2258064516129,4.83870967741935,8.06451612903226,3.2258064516129,3.2258064516129,1.61290322580645,0,3.2258064516129,1.61290322580645,3.2258064516129,4.83870967741935,4.83870967741935,1.61290322580645,3.2258064516129,1.61290322580645,3.2258064516129,9.67741935483871
1983,"7","Enter Fleet",2,0,"1",52,52,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,3.57142857142857,0,3.57142857142857,14.2857142857143,3.57142857142857,0,3.57142857142857,10.7142857142857,3.57142857142857,0,7.14285714285714,3.57142857142857,0,0,0,0,3.57142857142857,39.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,3.57142857142857,0,3.57142857142857,14.2857142857143,3.57142857142857,0,3.57142857142857,10.7142857142857,3.57142857142857,0,7.14285714285714,3.57142857142857,0,0,0,0,3.57142857142857,39.2857142857143
1983,"7","Enter Fleet",2,0,"1",54,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,75
1983,"7","Enter Fleet",2,0,"1",56,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1986,"7","Enter Fleet",2,0,"1",26,26,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7","Enter Fleet",2,0,"1",36,36,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7","Enter Fleet",2,0,"1",40,40,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7","Enter Fleet",2,0,"1",42,42,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7","Enter Fleet",2,0,"1",46,46,8,0,0,0,0,0,0,0,25,12.5,0,50,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,50,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
